Município;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
150140 Belém;-;1;1;2;12;26;18;15;9;10;10;34;3;141
150145 Belterra;-;-;-;-;-;-;2;-;-;-;-;1;-;3
150150 Benevides;-;-;-;-;1;3;2;-;1;-;2;1;-;10
150157 Bom Jesus do Tocantins;-;-;-;-;-;2;-;-;-;-;-;-;-;2
150160 Bonito;-;1;-;-;-;2;-;-;-;-;-;-;-;3
150170 Bragança;-;-;-;-;1;3;-;1;-;-;1;-;-;6
150172 Brasil Novo;-;-;-;-;2;-;-;1;-;-;-;-;-;3
150175 Brejo Grande do Araguaia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150178 Breu Branco;-;1;1;1;1;1;-;2;-;-;1;-;-;8
150180 Breves;-;1;2;-;-;2;1;-;1;1;-;-;-;8
150190 Bujaru;-;-;-;-;-;1;1;-;-;-;-;-;-;2
150200 Cachoeira do Arari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150195 Cachoeira do Piriá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150210 Cametá;-;1;-;-;-;-;2;3;1;-;-;1;-;8
150215 Canaã dos Carajás;-;-;-;-;1;3;-;-;-;-;-;-;-;4
150220 Capanema;-;-;-;-;-;-;-;1;-;1;-;2;-;4
150230 Capitão Poço;-;-;-;1;-;1;-;-;-;-;-;1;-;3
150240 Castanhal;-;1;-;-;-;4;4;1;2;2;1;6;-;21
150250 Chaves;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150260 Colares;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150270 Conceição do Araguaia;-;-;-;-;-;-;3;1;2;1;-;-;-;7
150275 Concórdia do Pará;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150276 Cumaru do Norte;-;-;-;-;-;-;-;-;-;1;-;-;-;1
150277 Curionópolis;-;-;-;-;1;1;-;-;2;-;-;-;-;4
150280 Curralinho;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150285 Curuá;-;-;-;-;-;1;-;-;-;2;-;-;-;3
150290 Curuçá;-;-;-;-;-;2;-;-;-;-;-;-;-;2
150293 Dom Eliseu;-;-;1;1;-;3;-;-;-;-;1;-;-;6
150295 Eldorado do Carajás;-;-;-;-;-;-;1;1;-;-;-;-;-;2
150300 Faro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150304 Floresta do Araguaia;-;-;-;-;1;-;1;1;-;-;-;-;-;3
150307 Garrafão do Norte;-;-;-;-;-;2;-;-;-;-;-;-;-;2
150309 Goianésia do Pará;-;-;-;-;1;2;2;1;-;-;-;-;-;6
150310 Gurupá;-;-;-;-;-;-;1;-;-;-;-;1;-;2
150320 Igarapé-Açu;-;-;-;-;-;3;-;-;-;-;-;2;-;5
150330 Igarapé-Miri;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150340 Inhangapi;-;-;-;-;-;-;-;-;-;-;-;1;-;1
150345 Ipixuna do Pará;-;-;-;-;1;-;-;-;-;-;1;-;-;2
150350 Irituia;-;-;1;-;-;-;-;-;-;-;-;-;-;1
150360 Itaituba;-;-;1;1;4;3;4;4;1;-;-;1;-;19
150370 Itupiranga;-;-;1;-;-;1;-;-;-;-;-;1;-;3
150375 Jacareacanga;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150380 Jacundá;-;-;-;-;-;2;1;1;-;-;-;1;-;5
150390 Juruti;1;1;-;-;-;2;-;-;-;-;-;-;-;4
150400 Limoeiro do Ajuru;-;-;-;1;-;-;-;-;-;-;-;2;-;3
150405 Mãe do Rio;-;-;-;-;1;-;-;1;-;1;-;-;-;3
150410 Magalhães Barata;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150420 Marabá;3;2;-;3;3;7;9;5;3;1;2;4;1;43
150430 Maracanã;-;-;-;-;-;-;-;-;-;-;1;-;-;1
150440 Marapanim;-;-;1;1;-;1;1;-;-;1;1;-;-;6
150442 Marituba;-;-;-;-;2;2;5;-;1;-;-;1;-;11
150445 Medicilândia;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150450 Melgaço;-;-;-;-;-;3;-;-;-;-;-;-;-;3
150460 Mocajuba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150470 Moju;-;-;-;-;2;2;1;-;1;1;1;1;-;9
150475 Mojuí dos Campos;-;1;-;1;-;-;1;-;-;-;-;-;-;3
150480 Monte Alegre;-;-;-;1;1;1;1;-;-;1;1;-;-;6
150490 Muaná;-;-;-;-;-;-;-;-;-;1;-;-;-;1
150495 Nova Esperança do Piriá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150497 Nova Ipixuna;-;-;-;-;1;-;1;1;-;-;-;-;-;3
150500 Nova Timboteua;-;-;-;-;-;2;-;-;-;-;-;1;-;3
150503 Novo Progresso;-;-;-;1;-;1;3;1;1;-;-;-;-;7
150506 Novo Repartimento;-;-;-;1;1;-;2;-;-;1;-;-;1;6
150510 Óbidos;-;1;-;-;-;-;1;-;-;-;2;-;-;4
150520 Oeiras do Pará;-;-;-;2;-;-;-;-;-;-;-;-;-;2
150530 Oriximiná;-;-;-;-;1;-;2;-;-;-;-;-;-;3
150540 Ourém;-;-;1;-;-;1;-;-;-;-;-;-;-;2
150543 Ourilândia do Norte;-;-;1;-;-;1;-;-;-;-;-;1;-;3
150548 Pacajá;-;-;1;-;-;1;-;1;-;-;1;-;-;4
150549 Palestina do Pará;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150550 Paragominas;-;-;-;-;2;3;2;2;2;-;-;-;1;12
150553 Parauapebas;-;-;-;2;2;10;2;4;2;1;1;2;-;26
150555 Pau D'Arco;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150560 Peixe-Boi;-;-;1;-;-;-;1;-;-;-;-;-;-;2
150563 Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150565 Placas;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150570 Ponta de Pedras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150580 Portel;-;1;1;1;-;-;-;-;-;-;-;1;-;4
150590 Porto de Moz;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150600 Prainha;-;-;1;-;-;-;-;1;-;-;-;-;-;2
150610 Primavera;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150611 Quatipuru;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150613 Redenção;1;-;-;2;3;1;7;2;1;2;-;-;-;19
150616 Rio Maria;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150618 Rondon do Pará;-;-;-;1;-;2;2;2;-;-;-;-;-;7
150619 Rurópolis;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150620 Salinópolis;-;-;-;-;-;3;1;-;-;-;-;1;-;5
150630 Salvaterra;-;-;-;-;-;1;-;1;-;-;-;-;-;2
150635 Santa Bárbara do Pará;-;-;-;-;-;2;-;-;-;-;-;-;-;2
150640 Santa Cruz do Arari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150650 Santa Izabel do Pará;-;-;-;-;-;3;2;-;1;-;1;-;1;8
150655 Santa Luzia do Pará;-;-;-;-;-;-;-;1;3;-;-;1;-;5
150658 Santa Maria das Barreiras;-;-;-;-;-;-;-;1;-;-;-;-;-;1
150660 Santa Maria do Pará;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150670 Santana do Araguaia;-;-;-;2;-;1;-;-;-;-;-;-;-;3
150680 Santarém;-;-;1;2;1;6;2;6;3;3;2;3;-;29
150690 Santarém Novo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150700 Santo Antônio do Tauá;-;-;-;-;2;1;-;-;1;-;-;-;-;4
150710 São Caetano de Odivelas;-;1;1;-;-;-;-;-;-;-;-;-;-;2
150715 São Domingos do Araguaia;-;1;-;2;-;2;2;1;-;-;-;-;-;8
150720 São Domingos do Capim;-;1;-;-;-;3;-;-;-;-;-;-;-;4
150730 São Félix do Xingu;-;-;-;-;1;2;1;1;-;-;-;1;-;6
150740 São Francisco do Pará;-;-;-;1;-;-;1;-;1;1;1;-;-;5
150745 São Geraldo do Araguaia;-;-;-;1;-;1;-;-;-;-;-;-;-;2
150746 São João da Ponta;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150747 São João de Pirabas;-;-;-;-;-;-;1;-;1;-;1;-;-;3
150750 São João do Araguaia;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150760 São Miguel do Guamá;-;-;1;1;2;1;-;-;-;-;-;-;-;5
150770 São Sebastião da Boa Vista;1;-;-;-;-;-;-;-;-;-;-;-;-;1
150775 Sapucaia;-;-;-;-;-;-;1;-;-;-;-;-;-;1
150780 Senador José Porfírio;-;-;-;-;-;1;-;-;-;-;-;-;-;1
150790 Soure;-;-;1;-;-;1;-;-;-;-;1;-;-;3
150795 Tailândia;-;-;-;1;2;-;1;1;-;-;1;-;-;6
150796 Terra Alta;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150797 Terra Santa;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150800 Tomé-Açu;-;-;-;-;1;4;3;1;-;-;-;-;-;9
150803 Tracuateua;-;-;1;-;1;-;-;-;-;-;-;-;-;2
150805 Trairão;-;-;-;-;-;-;-;-;-;-;-;-;-;-
150808 Tucumã;-;-;-;-;1;1;-;-;2;-;-;-;-;4
150810 Tucuruí;-;-;-;-;2;-;1;-;1;-;-;2;-;6
150812 Ulianópolis;-;-;1;-;-;1;3;-;-;-;-;-;-;5
150815 Uruará;-;-;-;1;1;-;-;1;-;-;-;-;-;3
150820 Vigia;-;-;-;-;1;-;1;-;1;-;-;1;-;4
150830 Viseu;-;-;-;-;-;1;2;1;-;1;-;-;-;5
150835 Vitória do Xingu;-;-;-;-;-;1;1;-;-;-;-;-;-;2
150840 Xinguara;-;-;-;-;-;1;1;3;1;1;-;1;-;8
150000 Município ignorado - PA;-;-;-;-;-;-;-;-;-;-;-;-;1;1
160010 Amapá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160020 Calçoene;-;-;-;-;-;-;-;-;-;-;1;-;-;1
160021 Cutias;-;-;-;-;-;1;-;-;-;-;-;-;-;1
160023 Ferreira Gomes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160025 Itaubal;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160027 Laranjal do Jari;-;-;1;-;-;-;-;1;2;-;-;-;-;4
160030 Macapá;-;4;1;2;6;9;7;6;2;2;-;3;-;42
160040 Mazagão;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160050 Oiapoque;-;-;-;-;-;-;-;-;1;-;-;-;-;1
160015 Pedra Branca do Amapari;-;-;-;-;-;-;1;-;-;-;-;-;-;1
160053 Porto Grande;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160055 Pracuúba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160060 Santana;-;1;-;-;3;-;2;1;-;-;-;-;-;7
160005 Serra do Navio;-;-;-;-;-;-;-;1;-;-;-;-;-;1
160070 Tartarugalzinho;-;-;-;-;-;1;-;-;-;-;-;-;-;1
160080 Vitória do Jari;-;-;-;-;-;-;-;-;-;-;-;-;-;-
160000 Município ignorado - AP;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170025 Abreulândia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170030 Aguiarnópolis;-;-;-;-;-;1;-;-;-;-;-;-;-;1
170035 Aliança do Tocantins;-;-;-;-;-;-;-;1;-;-;-;-;-;1
170040 Almas;-;-;-;-;-;-;-;1;-;-;-;1;-;2
170070 Alvorada;-;-;-;-;-;-;-;1;1;-;1;-;-;3
170100 Ananás;-;-;-;-;-;1;1;-;-;-;-;-;-;2
170105 Angico;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170110 Aparecida do Rio Negro;-;-;-;-;1;1;-;-;-;-;-;-;-;2
170130 Aragominas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170190 Araguacema;-;-;-;-;-;-;-;-;-;-;-;1;-;1
170200 Araguaçu;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170210 Araguaína;-;1;-;-;1;2;7;3;4;2;2;4;-;26
170215 Araguanã;-;-;-;-;-;-;-;-;-;1;1;-;-;2
170220 Araguatins;-;-;-;-;-;-;1;1;-;-;-;-;-;2
170230 Arapoema;-;-;-;-;1;-;-;-;-;-;-;-;-;1
170240 Arraias;-;-;-;-;1;-;-;-;-;-;1;2;-;4
170255 Augustinópolis;-;-;1;-;-;1;2;-;-;-;2;-;-;6
170270 Aurora do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170290 Axixá do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170300 Babaçulândia;-;-;-;-;-;-;-;-;1;-;-;-;-;1
170305 Bandeirantes do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170307 Barra do Ouro;-;-;1;-;-;-;-;-;-;-;-;-;-;1
170310 Barrolândia;-;-;-;-;2;-;-;-;-;-;-;1;-;3
170320 Bernardo Sayão;-;-;-;-;-;-;-;1;-;-;-;-;-;1
170330 Bom Jesus do Tocantins;-;-;-;-;-;-;-;-;-;-;1;-;-;1
170360 Brasilândia do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170370 Brejinho de Nazaré;-;-;-;-;-;1;-;-;-;-;-;-;-;1
170380 Buriti do Tocantins;-;-;-;-;-;2;-;-;-;-;-;-;-;2
170382 Cachoeirinha;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170384 Campos Lindos;-;-;-;-;-;-;-;-;-;-;2;1;-;3
170386 Cariri do Tocantins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170388 Carmolândia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170389 Carrasco Bonito;-;-;-;-;-;-;-;-;1;-;-;-;-;1
170390 Caseara;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170410 Centenário;-;-;-;-;-;-;-;-;-;-;-;-;-;-
170510 Chapada da Natividade;-;-;-;-;-;-;-;-;1;-;-;-;-;1
