Município;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
230760 Limoeiro do Norte;-;-;-;-;1;2;1;-;1;3;-;1;-;9
230763 Madalena;-;-;-;-;-;-;-;-;-;-;-;-;-;-
230765 Maracanaú;1;1;-;2;4;2;4;2;2;1;1;3;-;23
230770 Maranguape;-;-;1;1;-;3;2;2;2;1;1;1;-;14
230780 Marco;-;-;-;-;-;-;1;-;-;-;-;-;-;1
230790 Martinópole;-;-;-;-;-;-;1;-;-;-;-;-;-;1
230800 Massapê;-;-;-;-;-;2;-;-;-;-;-;1;-;3
230810 Mauriti;-;-;-;-;-;-;-;-;-;-;-;-;-;-
230820 Meruoca;-;-;-;-;-;-;-;1;-;-;-;-;-;1
230830 Milagres;-;-;-;1;-;1;-;-;-;-;-;1;-;3
230835 Milhã;-;-;-;-;-;-;-;-;-;-;-;-;-;-
230837 Miraíma;-;-;-;-;-;1;-;-;-;-;-;-;-;1
230840 Missão Velha;-;-;-;-;-;2;-;-;-;-;-;-;-;2
230850 Mombaça;1;-;-;-;-;-;-;3;-;-;1;4;-;9
230860 Monsenhor Tabosa;-;-;-;-;-;-;-;-;-;-;-;1;-;1
230870 Morada Nova;-;-;-;1;-;-;-;1;-;1;-;3;1;7
230880 Moraújo;-;-;-;-;-;1;1;-;-;-;-;-;-;2
230890 Morrinhos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
230900 Mucambo;-;-;-;-;-;-;-;-;-;-;-;1;-;1
230910 Mulungu;-;-;-;-;-;-;-;-;-;-;-;-;-;-
230920 Nova Olinda;-;-;-;-;-;-;-;-;1;-;-;-;-;1
230930 Nova Russas;-;-;-;-;1;3;-;1;-;-;-;1;-;6
230940 Novo Oriente;-;1;-;-;-;1;-;-;-;-;-;-;-;2
230945 Ocara;-;-;-;-;-;2;1;-;-;-;-;-;-;3
230950 Orós;-;-;-;-;-;-;-;2;1;1;1;-;-;5
230960 Pacajus;-;1;-;-;2;-;-;-;-;1;1;2;-;7
230970 Pacatuba;-;-;-;-;-;1;-;1;1;1;-;1;-;5
230980 Pacoti;-;-;-;1;-;-;-;-;-;-;-;2;-;3
230990 Pacujá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231000 Palhano;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231010 Palmácia;-;-;-;-;-;-;-;1;-;1;1;-;-;3
231020 Paracuru;1;-;-;-;1;-;-;-;1;-;-;-;-;3
231025 Paraipaba;-;1;-;-;1;-;1;-;-;-;-;-;-;3
231030 Parambu;-;-;-;1;-;-;-;1;1;-;1;-;-;4
231040 Paramoti;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231050 Pedra Branca;-;1;-;-;3;2;-;-;1;-;-;1;-;8
231060 Penaforte;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231070 Pentecoste;-;-;-;-;1;-;-;-;1;-;2;-;-;4
231080 Pereiro;-;-;-;-;-;1;-;-;-;-;-;-;-;1
231085 Pindoretama;-;-;-;1;-;-;-;-;-;-;-;-;-;1
231090 Piquet Carneiro;-;-;-;-;-;-;-;-;-;1;-;-;-;1
231095 Pires Ferreira;-;-;-;-;-;-;-;-;-;-;-;1;-;1
231100 Poranga;-;-;-;-;1;-;-;-;-;-;-;-;-;1
231110 Porteiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231120 Potengi;-;-;-;-;-;-;-;-;-;1;-;-;-;1
231123 Potiretama;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231126 Quiterianópolis;-;1;-;-;-;-;-;-;1;-;-;-;-;2
231130 Quixadá;1;-;-;-;1;2;1;1;-;-;1;2;-;9
231135 Quixelô;-;-;-;-;-;1;-;-;-;-;-;2;-;3
231140 Quixeramobim;-;-;-;-;2;1;3;1;-;1;-;1;-;9
231150 Quixeré;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231160 Redenção;1;-;-;-;-;1;-;-;-;1;1;1;-;5
231170 Reriutaba;-;-;-;-;1;1;-;1;-;-;1;1;-;5
231180 Russas;-;-;-;-;-;2;2;1;-;-;-;1;-;6
231190 Saboeiro;-;-;-;-;-;1;1;-;-;-;-;-;-;2
231195 Salitre;-;-;-;-;-;-;-;1;-;-;-;-;-;1
231220 Santa Quitéria;-;-;-;-;-;-;1;1;-;-;-;1;-;3
231200 Santana do Acaraú;-;1;-;-;-;2;2;3;-;-;-;-;-;8
231210 Santana do Cariri;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231230 São Benedito;-;-;-;-;2;1;-;-;1;-;-;3;-;7
231240 São Gonçalo do Amarante;1;-;-;-;-;1;1;1;-;1;1;-;-;6
231250 São João do Jaguaribe;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231260 São Luís do Curu;-;-;-;-;-;-;-;-;1;1;-;-;-;2
231270 Senador Pompeu;-;-;1;-;-;-;-;-;-;-;-;2;-;3
231280 Senador Sá;-;-;-;-;-;1;-;-;-;-;-;-;-;1
231290 Sobral;-;-;-;3;2;5;2;3;-;1;2;5;-;23
231300 Solonópole;-;-;-;1;-;-;1;-;-;1;-;-;-;3
231310 Tabuleiro do Norte;-;-;-;-;-;-;-;-;1;1;-;1;-;3
231320 Tamboril;-;-;1;-;1;-;-;-;2;1;-;2;-;7
231325 Tarrafas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231330 Tauá;-;-;-;-;1;5;-;1;-;-;-;1;-;8
231335 Tejuçuoca;-;-;-;-;-;1;-;-;-;-;-;1;-;2
231340 Tianguá;1;-;-;-;2;4;1;-;-;1;-;1;-;10
231350 Trairi;-;-;-;-;2;-;1;-;-;1;-;1;-;5
231355 Tururu;-;-;-;-;-;-;2;-;-;-;-;-;-;2
231360 Ubajara;-;-;-;1;1;-;-;-;-;-;-;1;-;3
231370 Umari;-;-;-;-;-;-;-;-;-;1;-;-;-;1
231375 Umirim;-;-;-;-;1;-;2;1;-;-;-;-;-;4
231380 Uruburetama;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231390 Uruoca;-;-;-;-;-;-;-;-;-;-;-;-;-;-
231395 Varjota;-;-;-;1;-;-;-;-;-;-;-;-;-;1
231400 Várzea Alegre;-;-;1;-;-;3;-;1;-;-;-;-;-;5
231410 Viçosa do Ceará;-;-;-;-;3;-;-;-;1;1;1;1;-;7
230000 Município ignorado - CE;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240010 Acari;-;-;-;-;-;-;1;-;-;-;-;-;-;1
240020 Açu;-;-;-;-;1;-;1;-;1;-;-;-;-;3
240030 Afonso Bezerra;-;-;-;-;-;1;-;-;-;-;-;1;-;2
240040 Água Nova;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240050 Alexandria;-;-;-;-;-;2;-;-;-;-;-;-;-;2
240060 Almino Afonso;-;-;-;1;-;-;-;-;-;-;-;-;-;1
240070 Alto do Rodrigues;-;-;-;-;-;1;-;-;-;-;-;-;-;1
240080 Angicos;-;1;-;-;1;-;1;-;-;-;-;-;-;3
240090 Antônio Martins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240100 Apodi;-;-;-;-;-;2;-;-;-;-;-;-;-;2
240110 Areia Branca;-;-;-;-;-;-;-;-;-;2;-;-;-;2
240120 Arês;-;-;-;-;-;-;-;-;1;1;-;-;-;2
240130 Augusto Severo;-;-;-;1;-;-;1;-;-;-;-;-;-;2
240140 Baía Formosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240145 Baraúna;-;-;-;-;-;1;-;-;1;-;-;-;-;2
240150 Barcelona;-;-;-;-;-;-;-;1;-;-;-;-;-;1
240160 Bento Fernandes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240165 Bodó;-;-;-;-;-;-;-;-;-;1;-;-;-;1
240170 Bom Jesus;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240180 Brejinho;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240185 Caiçara do Norte;-;-;-;-;-;-;-;-;-;-;1;-;-;1
240190 Caiçara do Rio do Vento;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240200 Caicó;-;-;-;-;-;2;-;1;-;1;2;2;-;8
240210 Campo Redondo;-;-;-;-;1;-;-;-;-;1;-;-;-;2
240220 Canguaretama;-;-;-;-;-;-;2;-;-;-;1;-;-;3
240230 Caraúbas;-;-;1;-;-;1;1;-;1;-;1;-;-;5
240240 Carnaúba dos Dantas;-;-;-;-;-;-;-;-;2;-;-;-;-;2
240250 Carnaubais;-;-;-;-;-;-;-;-;-;-;1;-;-;1
240260 Ceará-Mirim;-;-;-;1;-;-;2;1;-;-;1;1;-;6
240270 Cerro Corá;-;-;-;-;-;-;-;-;1;-;-;-;-;1
240280 Coronel Ezequiel;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240290 Coronel João Pessoa;-;-;-;-;-;-;-;-;-;-;1;-;-;1
240300 Cruzeta;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240310 Currais Novos;-;-;-;-;-;-;3;-;-;-;-;-;-;3
240320 Doutor Severiano;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240330 Encanto;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240340 Equador;-;-;-;-;1;-;-;-;-;-;-;-;-;1
240350 Espírito Santo;-;-;-;-;-;-;-;-;-;-;-;1;-;1
240360 Extremoz;-;-;-;-;1;-;-;-;-;-;-;-;-;1
240370 Felipe Guerra;-;-;-;-;-;-;-;-;-;-;-;1;-;1
240375 Fernando Pedroza;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240380 Florânia;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240390 Francisco Dantas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240400 Frutuoso Gomes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240410 Galinhos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240420 Goianinha;-;-;-;-;-;1;-;-;-;-;-;-;-;1
240430 Governador Dix-Sept Rosado;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240440 Grossos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240450 Guamaré;-;-;-;-;-;2;-;-;-;1;-;1;-;4
240460 Ielmo Marinho;-;-;-;-;-;1;-;-;-;-;-;-;-;1
240470 Ipanguaçu;-;-;-;-;-;-;-;2;-;-;-;1;-;3
240480 Ipueira;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240485 Itajá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240490 Itaú;-;-;-;-;-;1;-;-;-;-;1;-;-;2
240500 Jaçanã;-;-;-;-;-;1;-;-;-;-;-;-;-;1
240510 Jandaíra;-;-;-;-;1;-;-;-;-;-;-;-;-;1
240520 Janduís;-;-;-;-;-;-;1;1;-;-;-;-;-;2
240530 Januário Cicco;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240540 Japi;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240550 Jardim de Angicos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240560 Jardim de Piranhas;-;-;-;-;-;-;-;1;-;-;-;-;-;1
240570 Jardim do Seridó;-;1;-;-;-;-;-;-;-;-;1;-;-;2
240580 João Câmara;-;-;-;-;-;-;1;-;-;-;-;1;-;2
240590 João Dias;-;-;-;-;-;-;-;-;-;-;-;1;-;1
240600 José da Penha;-;-;-;-;-;-;-;1;-;1;-;-;-;2
240610 Jucurutu;-;-;1;-;1;-;-;-;-;-;-;-;-;2
240615 Jundiá;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240620 Lagoa d'Anta;-;-;-;-;-;1;-;-;-;-;-;-;-;1
240630 Lagoa de Pedras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240640 Lagoa de Velhos;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240650 Lagoa Nova;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240660 Lagoa Salgada;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240670 Lajes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240680 Lajes Pintadas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240690 Lucrécia;-;-;-;-;-;-;-;-;-;1;-;-;-;1
240700 Luís Gomes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240710 Macaíba;-;-;-;-;1;6;1;1;-;1;-;1;-;11
240720 Macau;-;-;1;-;-;-;-;1;-;1;-;-;-;3
240725 Major Sales;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240730 Marcelino Vieira;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240740 Martins;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240750 Maxaranguape;-;-;-;-;-;-;-;-;-;-;1;-;-;1
240760 Messias Targino;-;-;-;-;-;-;-;-;-;-;-;1;-;1
240770 Montanhas;-;-;-;-;-;-;-;-;1;-;-;1;-;2
240780 Monte Alegre;-;-;-;-;-;-;-;-;-;-;-;1;-;1
240790 Monte das Gameleiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240800 Mossoró;-;-;-;1;1;7;4;7;2;-;2;2;-;26
240810 Natal;-;2;1;3;9;14;12;9;7;7;4;25;-;93
240820 Nísia Floresta;-;-;-;-;-;1;-;-;1;-;-;-;-;2
240830 Nova Cruz;-;-;-;-;-;1;1;-;-;-;-;-;-;2
240840 Olho-d'Água do Borges;-;-;-;-;-;-;1;-;-;-;-;-;-;1
240850 Ouro Branco;-;-;-;-;-;-;1;-;-;-;-;-;-;1
240860 Paraná;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240870 Paraú;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240880 Parazinho;-;-;-;-;-;-;-;-;-;-;-;1;-;1
240890 Parelhas;-;-;-;-;-;1;-;-;-;-;-;1;-;2
240325 Parnamirim;-;1;1;1;2;3;5;3;-;3;-;7;-;26
240910 Passa e Fica;-;-;-;1;1;-;-;-;-;-;-;-;-;2
240920 Passagem;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240930 Patu;-;-;-;-;1;2;-;-;-;-;-;-;-;3
240940 Pau dos Ferros;-;-;-;1;-;1;2;-;1;-;1;-;-;6
240950 Pedra Grande;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240960 Pedra Preta;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240970 Pedro Avelino;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240980 Pedro Velho;-;-;-;-;-;-;-;-;1;-;-;-;-;1
240990 Pendências;-;-;-;1;-;-;2;-;-;-;-;1;-;4
241000 Pilões;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241010 Poço Branco;-;-;-;-;-;-;-;1;-;-;-;-;-;1
241020 Portalegre;-;-;-;-;-;-;-;-;-;-;1;-;-;1
241025 Porto do Mangue;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241040 Pureza;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241050 Rafael Fernandes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241060 Rafael Godeiro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241070 Riacho da Cruz;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241080 Riacho de Santana;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241090 Riachuelo;-;-;-;-;-;-;-;-;-;1;-;-;-;1
240895 Rio do Fogo;-;-;-;-;-;-;-;1;-;1;-;-;-;2
241100 Rodolfo Fernandes;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241110 Ruy Barbosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241120 Santa Cruz;-;2;-;-;-;1;-;1;-;-;-;-;-;4
240933 Santa Maria;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241140 Santana do Matos;-;-;-;-;1;-;-;-;-;-;-;1;-;2
241142 Santana do Seridó;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241150 Santo Antônio;-;-;-;-;-;-;1;-;-;-;-;-;-;1
241160 São Bento do Norte;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241170 São Bento do Trairí;-;-;-;-;-;-;-;-;-;-;1;-;-;1
241180 São Fernando;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241190 São Francisco do Oeste;-;-;-;-;-;1;-;-;-;-;-;-;-;1
241200 São Gonçalo do Amarante;1;-;-;-;1;2;-;-;-;1;-;2;-;7
241210 São João do Sabugi;-;-;-;-;-;-;-;1;-;-;-;-;-;1
241220 São José de Mipibu;-;-;-;-;-;-;1;-;-;1;-;2;-;4
241230 São José do Campestre;-;-;-;-;1;1;-;-;-;1;-;-;-;3
241240 São José do Seridó;-;-;-;-;1;-;-;-;-;-;-;-;-;1
241250 São Miguel;-;-;-;-;-;1;-;-;-;-;-;-;-;1
241255 São Miguel do Gostoso;-;-;-;-;-;1;-;-;-;-;-;-;-;1
241260 São Paulo do Potengi;-;-;-;-;1;-;1;1;-;-;-;1;-;4
241270 São Pedro;-;-;-;-;-;1;-;1;-;-;-;-;-;2
241280 São Rafael;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241290 São Tomé;-;-;-;-;-;1;1;-;-;-;-;1;-;3
241300 São Vicente;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241310 Senador Elói de Souza;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241320 Senador Georgino Avelino;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241030 Serra Caiada;-;-;-;-;-;1;-;1;-;-;-;-;-;2
241330 Serra de São Bento;-;-;-;-;-;-;-;-;-;-;-;1;-;1
241335 Serra do Mel;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241340 Serra Negra do Norte;-;-;-;-;-;-;-;1;-;-;-;-;-;1
241350 Serrinha;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241355 Serrinha dos Pintos;-;-;-;-;-;-;-;-;-;1;-;-;-;1
241360 Severiano Melo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241370 Sítio Novo;-;-;-;-;-;-;-;-;-;-;1;-;-;1
241380 Taboleiro Grande;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241390 Taipu;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241400 Tangará;-;-;-;-;-;1;-;-;-;1;-;-;-;2
241410 Tenente Ananias;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241415 Tenente Laurentino Cruz;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241105 Tibau;-;-;-;-;-;-;1;-;-;-;-;-;-;1
241420 Tibau do Sul;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241430 Timbaúba dos Batistas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241440 Touros;-;-;-;-;-;1;-;-;-;-;-;-;-;1
241445 Triunfo Potiguar;1;-;-;-;-;-;-;-;-;-;-;-;-;1
241450 Umarizal;-;-;-;-;-;1;1;-;-;1;-;-;-;3
241460 Upanema;-;-;-;-;-;-;1;-;-;-;-;-;-;1
241470 Várzea;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241475 Venha-Ver;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241480 Vera Cruz;-;-;-;-;-;-;-;-;1;1;-;-;-;2
241490 Viçosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-
241500 Vila Flor;-;-;-;-;-;-;-;-;-;-;-;-;-;-
240000 Município ignorado - RN;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250010 Água Branca;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250020 Aguiar;-;-;-;-;-;-;2;-;-;-;-;-;-;2
250030 Alagoa Grande;-;-;-;1;1;-;-;-;-;1;1;1;-;5
250040 Alagoa Nova;-;-;-;-;1;1;-;-;1;-;-;-;-;3
250050 Alagoinha;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250053 Alcantil;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250057 Algodão de Jandaíra;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250060 Alhandra;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250073 Amparo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250077 Aparecida;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250080 Araçagi;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250090 Arara;-;-;-;-;-;-;1;1;2;-;-;-;-;4
250100 Araruna;-;-;-;-;-;2;-;-;-;-;-;-;-;2
250110 Areia;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250115 Areia de Baraúnas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250120 Areial;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250130 Aroeiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250135 Assunção;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250140 Baía da Traição;-;-;-;-;-;-;-;-;2;-;-;-;-;2
250150 Bananeiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250153 Baraúna;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250160 Barra de Santa Rosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250157 Barra de Santana;-;-;-;-;-;-;1;-;-;-;-;-;-;1
250170 Barra de São Miguel;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250180 Bayeux;-;-;-;1;1;3;4;1;-;-;2;2;-;14
250190 Belém;-;-;-;-;-;-;-;-;-;-;1;1;-;2
250200 Belém do Brejo do Cruz;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250205 Bernardino Batista;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250210 Boa Ventura;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250215 Boa Vista;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250220 Bom Jesus;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250230 Bom Sucesso;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250240 Bonito de Santa Fé;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250250 Boqueirão;-;-;1;-;-;-;-;-;-;-;-;-;-;1
250270 Borborema;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250280 Brejo do Cruz;-;-;-;-;-;-;1;-;-;-;-;-;-;1
250290 Brejo dos Santos;-;-;-;-;-;-;-;-;-;-;-;1;-;1
250300 Caaporã;-;1;-;-;-;-;-;-;-;-;-;-;-;1
250310 Cabaceiras;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250320 Cabedelo;-;-;-;-;1;6;1;-;1;-;1;-;-;10
250330 Cachoeira dos Índios;-;-;-;-;-;-;-;1;-;-;-;-;-;1
250340 Cacimba de Areia;-;-;-;-;-;-;1;-;-;-;-;-;-;1
250350 Cacimba de Dentro;-;-;-;-;-;1;1;-;-;-;-;-;-;2
250355 Cacimbas;-;1;-;-;1;1;-;-;-;-;-;-;-;3
250360 Caiçara;-;-;-;1;-;-;2;-;-;-;-;-;-;3
250370 Cajazeiras;-;-;-;-;-;-;1;-;-;1;1;1;-;4
250375 Cajazeirinhas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250380 Caldas Brandão;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250390 Camalaú;-;-;-;-;-;-;-;1;-;1;-;-;-;2
250400 Campina Grande;4;-;1;-;2;5;12;5;-;3;3;4;-;39
250403 Capim;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250407 Caraúbas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250410 Carrapateira;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250415 Casserengue;-;-;-;-;-;-;1;-;-;-;-;1;-;2
250420 Catingueira;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250430 Catolé do Rocha;-;-;-;-;-;-;2;1;-;1;1;1;-;6
250435 Caturité;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250440 Conceição;-;-;-;-;-;-;-;-;1;-;-;-;-;1
250450 Condado;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250460 Conde;-;-;-;-;-;1;2;1;-;-;1;-;-;5
250470 Congo;-;-;-;-;-;-;-;-;-;-;-;1;-;1
250480 Coremas;-;-;-;-;-;-;-;-;-;1;-;-;-;1
250485 Coxixola;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250490 Cruz do Espírito Santo;1;-;-;-;-;-;-;-;-;-;1;-;-;2
250500 Cubati;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250510 Cuité;-;-;-;2;-;-;-;-;-;1;-;-;-;3
250523 Cuité de Mamanguape;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250520 Cuitegi;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250527 Curral de Cima;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250530 Curral Velho;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250535 Damião;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250540 Desterro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250560 Diamante;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250570 Dona Inês;-;-;-;-;1;1;-;-;-;-;-;-;-;2
250580 Duas Estradas;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250590 Emas;-;-;-;-;1;1;-;-;-;-;-;-;-;2
250600 Esperança;-;1;-;-;1;-;1;-;-;-;-;-;-;3
250610 Fagundes;-;-;-;-;-;2;-;-;-;-;-;-;-;2
250620 Frei Martinho;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250625 Gado Bravo;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250630 Guarabira;-;-;-;-;1;2;-;1;1;-;1;1;-;7
250640 Gurinhém;-;-;-;-;-;1;1;1;-;-;-;1;-;4
250650 Gurjão;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250660 Ibiara;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250260 Igaracy;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250670 Imaculada;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250680 Ingá;1;-;-;-;-;1;-;1;-;-;1;-;-;4
250690 Itabaiana;-;-;-;-;1;-;-;1;-;1;-;2;-;5
250700 Itaporanga;-;-;-;-;-;-;-;-;-;-;-;1;-;1
250710 Itapororoca;-;-;-;1;-;-;-;-;-;-;-;-;-;1
250720 Itatuba;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250730 Jacaraú;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250740 Jericó;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250750 João Pessoa;1;3;2;5;10;21;16;6;3;3;4;9;1;84
251365 Joca Claudino;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250760 Juarez Távora;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250770 Juazeirinho;-;-;-;-;-;-;1;-;-;-;-;-;-;1
250780 Junco do Seridó;-;-;-;-;-;1;-;-;-;-;-;-;-;1
250790 Juripiranga;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250800 Juru;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250810 Lagoa;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250820 Lagoa de Dentro;-;-;-;-;-;-;-;-;-;-;-;1;-;1
250830 Lagoa Seca;-;-;-;-;-;1;-;-;-;-;-;1;-;2
250840 Lastro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250850 Livramento;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250855 Logradouro;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250860 Lucena;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250870 Mãe d'Água;-;-;-;-;-;-;-;-;-;-;-;-;-;-
250880 Malta;-;-;-;-;-;-;1;-;-;-;-;-;-;1
250890 Mamanguape;-;-;-;-;-;2;1;1;1;-;-;-;-;5
