 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Sexo: Fem
Período:2010
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"220937 Santa Rosa do Piauí";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"220935 Santana do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220940 Santo Antônio de Lisboa";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"220945 Santo Antônio dos Milagres";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220950 Santo Inácio do Piauí";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"220955 São Braz do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220960 São Félix do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220965 São Francisco de Assis do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220970 São Francisco do Piauí";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"220975 São Gonçalo do Gurguéia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220980 São Gonçalo do Piauí";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"220985 São João da Canabrava";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220987 São João da Fronteira";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220990 São João da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"220995 São João da Varjota";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220997 São João do Arraial";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221000 São João do Piauí";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"221005 São José do Divino";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221010 São José do Peixe";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221020 São José do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221030 São Julião";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"221035 São Lourenço do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221037 São Luis do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221038 São Miguel da Baixa Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221039 São Miguel do Fidalgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221040 São Miguel do Tapuio";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221050 São Pedro do Piauí";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"221060 São Raimundo Nonato";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"221062 Sebastião Barros";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221063 Sebastião Leal";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"221065 Sigefredo Pacheco";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"221070 Simões";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221080 Simplício Mendes";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221090 Socorro do Piauí";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"221093 Sussuapara";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221095 Tamboril do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"221097 Tanque do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"221100 Teresina";3;2;1;3;5;23;17;7;13;7;11;9;1;102
"221110 União";-;-;1;-;-;2;1;1;-;1;-;-;-;6
"221120 Uruçuí";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"221130 Valença do Piauí";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"221135 Várzea Branca";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221140 Várzea Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221150 Vera Mendes";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221160 Vila Nova do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"221170 Wall Ferraz";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"220000 Município ignorado - PI";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230010 Abaiara";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"230015 Acarape";-;1;-;-;3;1;-;1;-;-;-;1;-;7
"230020 Acaraú";-;-;-;-;-;2;-;2;-;-;-;-;-;4
"230030 Acopiara";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"230040 Aiuaba";-;1;-;-;-;1;-;2;-;1;-;-;-;5
"230050 Alcântaras";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"230060 Altaneira";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230070 Alto Santo";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"230075 Amontada";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"230080 Antonina do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"230090 Apuiarés";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"230100 Aquiraz";-;-;-;-;1;-;1;1;1;-;-;-;-;4
"230110 Aracati";-;-;-;-;-;1;1;1;-;-;-;3;-;6
"230120 Aracoiaba";-;-;-;-;-;-;-;-;1;1;-;1;-;3
"230125 Ararendá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230130 Araripe";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230140 Aratuba";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"230150 Arneiroz";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230160 Assaré";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"230170 Aurora";-;-;-;-;-;1;-;-;-;-;1;1;-;3
"230180 Baixio";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230185 Banabuiú";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"230190 Barbalha";-;-;-;1;-;1;-;-;1;-;1;-;-;4
"230195 Barreira";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230200 Barro";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"230205 Barroquinha";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230210 Baturité";-;-;-;-;2;3;-;-;-;-;1;1;-;7
"230220 Beberibe";-;-;-;-;1;-;-;1;-;-;-;3;-;5
"230230 Bela Cruz";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230240 Boa Viagem";-;-;-;-;1;-;2;-;1;-;-;-;-;4
"230250 Brejo Santo";-;-;-;-;-;2;-;-;3;1;-;-;-;6
"230260 Camocim";-;-;-;-;1;1;2;-;1;1;-;-;-;6
"230270 Campos Sales";-;-;-;-;-;-;-;1;-;1;-;1;-;3
"230280 Canindé";-;-;-;-;-;3;1;1;1;-;-;-;-;6
"230290 Capistrano";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"230300 Caridade";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"230310 Cariré";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"230320 Caririaçu";-;-;-;-;-;-;1;-;1;-;1;2;-;5
"230330 Cariús";-;-;1;-;1;-;-;-;1;-;-;-;-;3
"230340 Carnaubal";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230350 Cascavel";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"230360 Catarina";-;-;-;-;-;-;-;1;1;1;1;-;-;4
"230365 Catunda";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"230370 Caucaia";1;1;-;-;2;10;3;7;5;4;1;3;-;37
"230380 Cedro";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"230390 Chaval";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"230393 Choró";1;-;-;-;-;3;-;-;1;-;-;-;-;5
"230395 Chorozinho";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"230400 Coreaú";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230410 Crateús";-;-;-;-;-;1;-;1;1;-;-;1;-;4
"230420 Crato";1;2;-;-;1;1;1;3;-;1;1;1;1;13
"230423 Croatá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230425 Cruz";-;-;-;1;-;-;-;1;-;1;-;-;-;3
"230426 Deputado Irapuan Pinheiro";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"230427 Ererê";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230428 Eusébio";-;-;-;-;-;1;-;1;-;-;-;-;-;2
"230430 Farias Brito";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230435 Forquilha";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230440 Fortaleza";7;6;2;6;24;56;41;45;31;35;42;72;5;372
"230445 Fortim";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"230450 Frecheirinha";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"230460 General Sampaio";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230465 Graça";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"230470 Granja";-;-;-;1;-;-;-;-;1;-;-;1;-;3
"230480 Granjeiro";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"230490 Groaíras";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"230495 Guaiúba";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230500 Guaraciaba do Norte";-;-;-;-;-;2;1;1;-;-;-;-;-;4
"230510 Guaramiranga";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"230520 Hidrolândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230523 Horizonte";-;-;-;-;-;2;1;1;1;-;1;2;-;8
"230526 Ibaretama";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230530 Ibiapina";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"230533 Ibicuitinga";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230535 Icapuí";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230540 Icó";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"230550 Iguatu";-;-;-;-;1;1;1;3;2;1;1;4;-;14
"230560 Independência";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"230565 Ipaporanga";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230570 Ipaumirim";1;-;-;-;-;-;-;1;1;-;-;-;-;3
"230580 Ipu";-;-;-;-;1;1;-;1;1;-;2;-;-;6
"230590 Ipueiras";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"230600 Iracema";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"230610 Irauçuba";-;-;-;-;-;-;-;1;-;-;-;1;-;2
"230620 Itaiçaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230625 Itaitinga";-;-;1;-;-;1;2;2;-;-;-;-;-;6
"230630 Itapajé";-;-;-;1;-;1;1;-;-;-;1;-;-;4
"230640 Itapipoca";-;-;-;-;-;4;-;1;3;-;-;2;-;10
"230650 Itapiúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230655 Itarema";-;1;1;1;1;-;-;-;-;1;-;1;-;6
"230660 Itatira";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230670 Jaguaretama";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230680 Jaguaribara";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230690 Jaguaribe";-;-;-;-;-;1;1;1;1;1;1;1;-;7
"230700 Jaguaruana";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"230710 Jardim";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230720 Jati";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230725 Jijoca de Jericoacoara";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230730 Juazeiro do Norte";-;-;-;1;2;3;7;3;1;1;4;1;-;23
"230740 Jucás";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"230750 Lavras da Mangabeira";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230760 Limoeiro do Norte";-;-;-;-;-;2;1;1;1;1;2;-;-;8
"230763 Madalena";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"230765 Maracanaú";-;-;1;2;3;4;4;2;6;2;2;-;-;26
"230770 Maranguape";-;-;-;1;1;1;1;1;1;2;-;1;-;9
"230780 Marco";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"230790 Martinópole";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230800 Massapê";-;-;1;1;2;-;-;-;-;-;-;-;-;4
"230810 Mauriti";-;-;-;1;2;1;1;-;-;-;-;-;-;5
"230820 Meruoca";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230830 Milagres";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"230835 Milhã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230837 Miraíma";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"230840 Missão Velha";-;1;-;-;2;1;-;2;2;-;-;-;-;8
"230850 Mombaça";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"230860 Monsenhor Tabosa";-;-;-;-;-;-;2;-;-;-;-;1;-;3
"230870 Morada Nova";-;-;-;2;1;1;1;1;-;1;1;2;-;10
"230880 Moraújo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230890 Morrinhos";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"230900 Mucambo";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"230910 Mulungu";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"230920 Nova Olinda";-;-;-;-;2;1;-;-;-;1;-;-;-;4
"230930 Nova Russas";-;-;-;-;-;1;1;-;1;2;-;1;-;6
"230940 Novo Oriente";-;-;-;2;-;-;-;-;1;-;-;1;-;4
"230945 Ocara";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"230950 Orós";-;-;-;-;-;-;-;2;1;-;-;-;-;3
"230960 Pacajus";-;-;-;1;1;-;-;2;1;1;1;1;-;8
"230970 Pacatuba";1;-;-;-;-;4;-;1;2;-;-;-;-;8
"230980 Pacoti";-;-;-;-;1;-;-;-;-;-;-;1;-;2
"230990 Pacujá";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"231000 Palhano";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231010 Palmácia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"231020 Paracuru";-;-;-;-;1;-;1;1;-;-;-;1;-;4
"231025 Paraipaba";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"231030 Parambu";-;-;1;1;-;2;1;-;-;-;-;-;-;5
"231040 Paramoti";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231050 Pedra Branca";-;1;-;1;-;4;3;2;-;-;1;-;-;12
"231060 Penaforte";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231070 Pentecoste";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"231080 Pereiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231085 Pindoretama";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"231090 Piquet Carneiro";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"231095 Pires Ferreira";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"231100 Poranga";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"231110 Porteiras";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"231120 Potengi";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"231123 Potiretama";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231126 Quiterianópolis";-;-;-;-;-;2;-;-;-;-;-;1;-;3
"231130 Quixadá";-;-;-;-;1;3;-;-;1;1;-;-;-;6
"231135 Quixelô";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"231140 Quixeramobim";-;-;-;1;2;1;2;1;2;-;1;-;-;10
"231150 Quixeré";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"231160 Redenção";-;-;-;-;-;1;-;1;-;-;-;1;-;3
"231170 Reriutaba";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"231180 Russas";-;-;1;-;1;1;1;-;1;1;-;1;-;7
"231190 Saboeiro";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"231195 Salitre";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"231220 Santa Quitéria";-;-;-;-;-;1;1;-;-;1;-;1;-;4
"231200 Santana do Acaraú";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"231210 Santana do Cariri";-;-;-;-;2;-;-;-;-;1;-;-;-;3
"231230 São Benedito";-;2;1;-;-;-;2;-;1;1;-;-;-;7
"231240 São Gonçalo do Amarante";-;-;1;-;-;1;-;1;-;1;-;2;-;6
"231250 São João do Jaguaribe";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"231260 São Luís do Curu";-;-;-;-;-;1;1;-;1;-;-;-;-;3
"231270 Senador Pompeu";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"231280 Senador Sá";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"231290 Sobral";1;-;1;-;4;5;4;4;1;2;1;5;-;28
"231300 Solonópole";-;-;-;-;-;1;1;-;-;1;-;-;-;3
"231310 Tabuleiro do Norte";1;-;-;-;1;1;-;-;1;-;-;-;-;4
"231320 Tamboril";-;1;-;-;-;-;-;2;-;-;-;-;-;3
"231325 Tarrafas";-;-;-;1;-;-;-;-;-;1;-;-;-;2
"231330 Tauá";-;1;-;1;2;4;1;2;-;1;-;-;-;12
"231335 Tejuçuoca";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"231340 Tianguá";-;-;-;-;1;2;1;1;1;1;-;1;-;8
"231350 Trairi";-;-;-;-;2;-;-;-;1;1;1;-;-;5
"231355 Tururu";-;-;-;-;-;-;-;1;1;-;1;-;-;3
"231360 Ubajara";-;-;-;-;1;1;-;-;1;-;1;1;-;5
"231370 Umari";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"231375 Umirim";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"231380 Uruburetama";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"231390 Uruoca";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"231395 Varjota";-;-;-;-;1;-;2;-;-;-;-;-;-;3
"231400 Várzea Alegre";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"231410 Viçosa do Ceará";-;-;-;-;-;1;-;-;1;-;-;2;-;4
"230000 Município ignorado - CE";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240010 Acari";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240020 Açu";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"240030 Afonso Bezerra";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240040 Água Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240050 Alexandria";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240060 Almino Afonso";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"240070 Alto do Rodrigues";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240080 Angicos";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"240090 Antônio Martins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240100 Apodi";-;1;-;-;-;3;-;1;1;-;-;-;-;6
"240110 Areia Branca";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"240120 Arês";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240130 Augusto Severo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240140 Baía Formosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240145 Baraúna";-;1;-;-;-;1;1;-;-;-;-;-;-;3
"240150 Barcelona";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240160 Bento Fernandes";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240165 Bodó";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240170 Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240180 Brejinho";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240185 Caiçara do Norte";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"240190 Caiçara do Rio do Vento";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240200 Caicó";-;-;-;-;1;-;-;-;-;1;1;-;-;3
"240210 Campo Redondo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240220 Canguaretama";-;-;-;-;1;1;-;-;-;-;-;1;-;3
"240230 Caraúbas";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"240240 Carnaúba dos Dantas";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240250 Carnaubais";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"240260 Ceará-Mirim";-;1;-;-;-;-;-;-;1;1;-;2;-;5
"240270 Cerro Corá";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"240280 Coronel Ezequiel";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240290 Coronel João Pessoa";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240300 Cruzeta";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240310 Currais Novos";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"240320 Doutor Severiano";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240330 Encanto";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240340 Equador";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240350 Espírito Santo";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"240360 Extremoz";-;-;-;-;-;-;1;1;-;-;-;2;-;4
"240370 Felipe Guerra";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240375 Fernando Pedroza";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240380 Florânia";-;-;-;-;-;-;1;-;-;-;-;2;-;3
"240390 Francisco Dantas";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"240400 Frutuoso Gomes";-;-;-;1;-;2;-;-;-;-;-;-;-;3
"240410 Galinhos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240420 Goianinha";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"240430 Governador Dix-Sept Rosado";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"240440 Grossos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240450 Guamaré";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240460 Ielmo Marinho";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240470 Ipanguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240480 Ipueira";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240485 Itajá";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240490 Itaú";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240500 Jaçanã";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240510 Jandaíra";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"240520 Janduís";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240530 Januário Cicco";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240540 Japi";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"240550 Jardim de Angicos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240560 Jardim de Piranhas";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"240570 Jardim do Seridó";-;-;-;-;-;-;-;-;1;-;-;2;-;3
"240580 João Câmara";-;2;-;-;1;-;-;-;3;-;2;-;-;8
"240590 João Dias";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240600 José da Penha";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240610 Jucurutu";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240615 Jundiá";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"240620 Lagoa d'Anta";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240630 Lagoa de Pedras";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"240640 Lagoa de Velhos";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240650 Lagoa Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240660 Lagoa Salgada";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240670 Lajes";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240680 Lajes Pintadas";-;-;-;-;-;2;-;-;-;-;1;-;-;3
"240690 Lucrécia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240700 Luís Gomes";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"240710 Macaíba";-;-;-;-;-;2;-;1;-;1;1;1;-;6
"240720 Macau";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"240725 Major Sales";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"240730 Marcelino Vieira";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240740 Martins";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240750 Maxaranguape";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240760 Messias Targino";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240770 Montanhas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"240780 Monte Alegre";-;-;1;1;-;-;-;-;-;-;-;1;-;3
"240790 Monte das Gameleiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240800 Mossoró";1;2;3;1;3;5;9;7;4;-;2;3;-;40
"240810 Natal";1;2;1;2;8;20;14;13;9;5;14;37;-;126
"240820 Nísia Floresta";-;-;-;1;-;1;-;-;-;-;-;1;-;3
"240830 Nova Cruz";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"240840 Olho-d'Água do Borges";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240850 Ouro Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240860 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240870 Paraú";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240880 Parazinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240890 Parelhas";-;-;-;-;-;-;-;1;-;-;1;1;-;3
"240325 Parnamirim";3;-;-;-;1;2;3;-;1;-;-;3;-;13
"240910 Passa e Fica";-;-;-;-;-;-;-;-;-;-;2;-;-;2
"240920 Passagem";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240930 Patu";-;-;-;-;-;1;-;1;-;-;1;-;-;3
"240940 Pau dos Ferros";-;-;-;-;-;2;2;2;-;1;1;-;-;8
"240950 Pedra Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240960 Pedra Preta";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"240970 Pedro Avelino";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240980 Pedro Velho";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"240990 Pendências";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"241000 Pilões";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"241010 Poço Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"241020 Portalegre";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"241025 Porto do Mangue";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"241040 Pureza";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"241050 Rafael Fernandes";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"241060 Rafael Godeiro";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"241070 Riacho da Cruz";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"241080 Riacho de Santana";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"241090 Riachuelo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"240895 Rio do Fogo";-;-;-;-;-;-;-;-;-;-;-;-;-;-
"241100 Rodolfo Fernandes";-;-;-;-;-;-;-;-;1;-;-;-;-;1
