 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2013
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"130063 Beruri";-;-;-;-;-;-;-
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-
"130070 Boca do Acre";-;-;-;3;-;-;3
"130080 Borba";-;-;-;-;-;-;-
"130083 Caapiranga";-;-;-;2;-;-;2
"130090 Canutama";1;-;-;1;-;-;2
"130100 Carauari";-;-;-;1;-;-;1
"130110 Careiro";-;-;-;2;-;-;2
"130115 Careiro da Várzea";-;-;-;1;-;-;1
"130120 Coari";-;-;-;6;-;-;6
"130130 Codajás";-;1;-;1;-;-;2
"130140 Eirunepé";-;-;-;1;6;-;7
"130150 Envira";-;-;-;-;-;-;-
"130160 Fonte Boa";-;-;-;-;-;-;-
"130165 Guajará";-;-;-;-;-;-;-
"130170 Humaitá";2;-;-;4;-;-;6
"130180 Ipixuna";-;-;-;-;-;-;-
"130185 Iranduba";1;-;-;6;-;-;7
"130190 Itacoatiara";-;-;-;7;-;-;7
"130195 Itamarati";-;-;-;-;-;-;-
"130200 Itapiranga";1;-;-;1;-;-;2
"130210 Japurá";-;-;-;-;-;-;-
"130220 Juruá";-;-;-;-;-;-;-
"130230 Jutaí";-;1;-;4;-;-;5
"130240 Lábrea";-;-;-;1;1;-;2
"130250 Manacapuru";-;-;-;9;-;-;9
"130255 Manaquiri";-;-;-;-;-;-;-
"130260 Manaus";44;-;-;165;1;5;215
"130270 Manicoré";-;-;-;1;-;1;2
"130280 Maraã";-;-;-;-;-;-;-
"130290 Maués";-;-;-;1;-;-;1
"130300 Nhamundá";-;-;-;-;-;-;-
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-
"130320 Novo Airão";-;-;-;-;-;1;1
"130330 Novo Aripuanã";-;-;-;-;-;-;-
"130340 Parintins";4;-;-;5;-;-;9
"130350 Pauini";-;-;-;1;-;-;1
"130353 Presidente Figueiredo";1;-;-;2;-;-;3
"130356 Rio Preto da Eva";-;-;-;-;-;-;-
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-
"130370 Santo Antônio do Içá";-;-;-;1;3;-;4
"130380 São Gabriel da Cachoeira";-;-;-;-;4;-;4
"130390 São Paulo de Olivença";-;-;-;-;2;-;2
"130395 São Sebastião do Uatumã";-;-;-;1;-;-;1
"130400 Silves";-;-;-;-;-;-;-
"130406 Tabatinga";1;-;-;3;8;-;12
"130410 Tapauá";-;-;-;-;-;-;-
"130420 Tefé";-;-;-;6;-;-;6
"130423 Tonantins";-;-;-;-;-;-;-
"130426 Uarini";-;-;-;2;-;-;2
"130430 Urucará";-;-;-;-;-;-;-
"130440 Urucurituba";-;-;-;2;-;-;2
"130000 Município ignorado - AM";-;-;-;-;-;-;-
"140005 Alto Alegre";-;-;-;-;12;-;12
"140002 Amajari";-;-;-;-;5;-;5
"140010 Boa Vista";4;-;-;51;2;1;58
"140015 Bonfim";-;-;-;3;1;-;4
"140017 Cantá";-;1;-;1;-;-;2
"140020 Caracaraí";-;-;-;-;11;-;11
"140023 Caroebe";-;-;-;-;-;-;-
"140028 Iracema";-;-;-;2;1;-;3
"140030 Mucajaí";-;-;-;2;-;-;2
"140040 Normandia";-;-;-;-;-;-;-
"140045 Pacaraima";-;-;-;-;-;-;-
"140047 Rorainópolis";-;-;-;3;-;-;3
"140050 São João da Baliza";1;-;-;-;-;-;1
"140060 São Luiz";-;-;-;-;-;-;-
"140070 Uiramutã";-;-;-;-;2;-;2
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";4;1;-;4;-;-;9
"150013 Abel Figueiredo";-;-;-;1;-;-;1
"150020 Acará";2;-;-;5;-;-;7
"150030 Afuá";2;-;-;1;-;-;3
"150034 Água Azul do Norte";-;-;-;2;-;-;2
"150040 Alenquer";1;-;-;4;-;-;5
"150050 Almeirim";-;-;-;1;-;-;1
"150060 Altamira";6;2;-;17;-;-;25
"150070 Anajás";-;-;-;1;-;-;1
"150080 Ananindeua";2;3;-;37;-;1;43
"150085 Anapu";-;-;-;2;-;-;2
"150090 Augusto Corrêa";-;-;-;5;-;-;5
"150095 Aurora do Pará";-;-;-;-;-;-;-
"150100 Aveiro";-;-;-;-;-;-;-
"150110 Bagre";-;-;-;-;-;-;-
"150120 Baião";-;-;-;3;-;-;3
"150125 Bannach";-;-;-;-;-;-;-
"150130 Barcarena";-;-;-;7;-;-;7
"150140 Belém";31;3;1;128;1;2;166
"150145 Belterra";-;-;-;-;-;-;-
"150150 Benevides";1;-;-;5;-;-;6
"150157 Bom Jesus do Tocantins";-;2;-;-;-;-;2
"150160 Bonito";-;-;-;1;-;-;1
"150170 Bragança";1;-;-;6;-;-;7
"150172 Brasil Novo";-;-;-;-;-;-;-
"150175 Brejo Grande do Araguaia";-;-;-;-;-;-;-
"150178 Breu Branco";-;2;-;3;-;-;5
"150180 Breves";-;-;-;4;-;1;5
"150190 Bujaru";-;-;-;-;-;1;1
"150200 Cachoeira do Arari";-;-;-;1;-;-;1
"150195 Cachoeira do Piriá";-;-;-;3;-;-;3
"150210 Cametá";1;1;-;6;-;-;8
"150215 Canaã dos Carajás";1;1;-;3;-;-;5
"150220 Capanema";-;-;-;6;-;-;6
"150230 Capitão Poço";-;-;-;1;-;-;1
"150240 Castanhal";2;-;-;12;-;1;15
"150250 Chaves";-;-;-;7;-;-;7
"150260 Colares";-;-;-;1;-;-;1
"150270 Conceição do Araguaia";-;-;-;6;-;-;6
"150275 Concórdia do Pará";-;-;-;3;-;1;4
"150276 Cumaru do Norte";-;-;-;-;-;-;-
"150277 Curionópolis";-;-;-;8;-;-;8
"150280 Curralinho";-;-;-;1;-;-;1
"150285 Curuá";-;-;-;-;-;-;-
"150290 Curuçá";1;-;-;3;-;-;4
"150293 Dom Eliseu";1;-;-;4;-;-;5
"150295 Eldorado do Carajás";-;-;-;4;-;-;4
"150300 Faro";-;-;-;-;-;-;-
"150304 Floresta do Araguaia";-;-;-;3;-;-;3
"150307 Garrafão do Norte";-;-;-;3;-;-;3
"150309 Goianésia do Pará";1;1;-;7;1;-;10
"150310 Gurupá";-;-;-;1;-;-;1
"150320 Igarapé-Açu";-;-;-;2;-;-;2
"150330 Igarapé-Miri";-;1;-;8;-;-;9
"150340 Inhangapi";-;-;-;1;-;-;1
"150345 Ipixuna do Pará";-;-;-;4;-;-;4
"150350 Irituia";-;-;-;3;-;-;3
"150360 Itaituba";1;1;-;12;-;-;14
"150370 Itupiranga";-;-;-;8;-;-;8
"150375 Jacareacanga";-;-;-;1;-;-;1
"150380 Jacundá";1;-;-;5;-;-;6
"150390 Juruti";-;-;-;2;-;-;2
"150400 Limoeiro do Ajuru";-;-;-;1;-;-;1
"150405 Mãe do Rio";1;-;-;7;-;-;8
"150410 Magalhães Barata";-;-;-;-;-;-;-
"150420 Marabá";8;2;-;37;-;-;47
"150430 Maracanã";-;-;-;1;-;-;1
"150440 Marapanim";-;-;-;-;-;-;-
"150442 Marituba";2;-;-;8;-;1;11
"150445 Medicilândia";-;-;-;2;-;-;2
"150450 Melgaço";-;-;-;1;-;-;1
"150460 Mocajuba";-;-;-;1;-;-;1
"150470 Moju";2;-;-;10;-;-;12
"150475 Mojuí dos Campos";-;-;-;-;-;-;-
"150480 Monte Alegre";-;2;-;3;-;-;5
"150490 Muaná";-;1;-;-;-;-;1
"150495 Nova Esperança do Piriá";1;-;-;-;-;-;1
"150497 Nova Ipixuna";1;-;-;-;-;-;1
"150500 Nova Timboteua";1;-;-;-;-;1;2
"150503 Novo Progresso";2;1;-;4;2;-;9
"150506 Novo Repartimento";1;-;-;8;-;-;9
"150510 Óbidos";-;-;-;2;-;-;2
"150520 Oeiras do Pará";-;-;-;3;-;-;3
"150530 Oriximiná";-;1;-;1;1;-;3
"150540 Ourém";-;-;-;-;-;-;-
"150543 Ourilândia do Norte";3;-;-;5;1;-;9
"150548 Pacajá";2;-;-;2;-;1;5
"150549 Palestina do Pará";-;-;-;1;-;-;1
"150550 Paragominas";1;-;-;14;-;-;15
"150553 Parauapebas";6;-;1;24;1;-;32
"150555 Pau D'Arco";-;-;-;1;-;-;1
"150560 Peixe-Boi";-;-;-;1;-;-;1
"150563 Piçarra";1;-;-;1;-;-;2
"150565 Placas";-;-;-;-;-;-;-
"150570 Ponta de Pedras";-;-;-;-;-;-;-
"150580 Portel";-;-;-;5;-;-;5
"150590 Porto de Moz";-;-;-;2;-;-;2
"150600 Prainha";-;-;-;2;-;-;2
"150610 Primavera";-;-;-;-;-;-;-
"150611 Quatipuru";-;-;-;1;-;-;1
"150613 Redenção";5;1;-;6;-;1;13
"150616 Rio Maria";1;1;-;2;-;-;4
"150618 Rondon do Pará";1;-;-;4;-;-;5
"150619 Rurópolis";-;-;-;2;-;-;2
"150620 Salinópolis";-;-;-;3;-;-;3
"150630 Salvaterra";-;-;-;1;-;-;1
"150635 Santa Bárbara do Pará";-;-;-;1;-;1;2
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";1;-;-;6;-;-;7
"150655 Santa Luzia do Pará";-;-;-;1;-;-;1
"150658 Santa Maria das Barreiras";1;1;-;3;-;-;5
"150660 Santa Maria do Pará";1;-;-;3;-;1;5
"150670 Santana do Araguaia";-;2;-;4;-;1;7
"150680 Santarém";5;-;-;13;-;3;21
"150690 Santarém Novo";-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;-;-;1;-;-;1
"150710 São Caetano de Odivelas";-;-;-;1;-;-;1
"150715 São Domingos do Araguaia";1;-;1;1;-;-;3
"150720 São Domingos do Capim";-;-;-;1;-;-;1
"150730 São Félix do Xingu";1;-;-;1;-;-;2
"150740 São Francisco do Pará";-;-;-;2;-;-;2
"150745 São Geraldo do Araguaia";2;1;-;1;-;-;4
"150746 São João da Ponta";-;-;-;1;-;-;1
"150747 São João de Pirabas";1;-;-;2;-;-;3
"150750 São João do Araguaia";-;-;-;-;-;-;-
"150760 São Miguel do Guamá";-;-;-;2;-;-;2
"150770 São Sebastião da Boa Vista";1;-;-;-;-;-;1
"150775 Sapucaia";-;-;-;-;-;-;-
"150780 Senador José Porfírio";-;-;-;-;-;-;-
"150790 Soure";-;-;-;3;-;-;3
"150795 Tailândia";6;-;-;7;-;-;13
"150796 Terra Alta";-;1;-;2;-;-;3
"150797 Terra Santa";-;-;-;-;-;-;-
"150800 Tomé-Açu";-;-;-;8;-;-;8
"150803 Tracuateua";-;1;-;1;-;-;2
"150805 Trairão";-;-;-;-;-;-;-
"150808 Tucumã";1;-;-;7;1;2;11
"150810 Tucuruí";3;3;-;7;-;-;13
"150812 Ulianópolis";1;3;-;2;-;-;6
"150815 Uruará";1;-;-;6;-;-;7
"150820 Vigia";-;-;-;5;-;-;5
"150830 Viseu";-;-;-;-;-;-;-
"150835 Vitória do Xingu";-;-;-;1;-;-;1
"150840 Xinguara";1;-;-;4;-;-;5
"150000 Município ignorado - PA";-;-;-;1;-;-;1
"160010 Amapá";1;-;-;-;-;-;1
"160020 Calçoene";-;-;-;2;-;-;2
"160021 Cutias";-;-;-;-;-;-;-
"160023 Ferreira Gomes";-;-;-;-;-;-;-
"160025 Itaubal";-;-;-;-;-;-;-
"160027 Laranjal do Jari";-;-;-;-;-;-;-
"160030 Macapá";7;3;1;39;-;6;56
"160040 Mazagão";-;-;-;1;-;-;1
"160050 Oiapoque";-;-;-;2;-;-;2
"160015 Pedra Branca do Amapari";-;-;-;2;-;-;2
"160053 Porto Grande";1;-;-;2;-;1;4
"160055 Pracuúba";-;-;-;-;-;-;-
"160060 Santana";2;-;-;6;-;-;8
"160005 Serra do Navio";-;-;-;1;-;-;1
"160070 Tartarugalzinho";-;-;-;-;-;-;-
"160080 Vitória do Jari";-;-;-;1;-;-;1
"160000 Município ignorado - AP";-;-;-;-;-;-;-
"170025 Abreulândia";-;-;-;-;-;-;-
"170030 Aguiarnópolis";-;-;-;-;-;-;-
"170035 Aliança do Tocantins";-;-;-;-;-;-;-
"170040 Almas";1;1;-;1;-;-;3
"170070 Alvorada";-;-;-;1;-;-;1
"170100 Ananás";-;-;-;-;-;-;-
"170105 Angico";-;-;-;2;-;-;2
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-;-
"170190 Araguacema";-;-;-;-;-;-;-
"170200 Araguaçu";1;-;-;1;-;-;2
"170210 Araguaína";11;-;-;15;-;-;26
"170215 Araguanã";-;-;-;1;-;1;2
"170220 Araguatins";1;-;-;4;-;-;5
"170230 Arapoema";-;-;-;-;-;-;-
"170240 Arraias";-;-;-;1;-;-;1
"170255 Augustinópolis";2;-;-;2;-;-;4
"170270 Aurora do Tocantins";-;-;-;-;-;-;-
"170290 Axixá do Tocantins";-;-;-;2;-;1;3
"170300 Babaçulândia";1;-;-;-;-;-;1
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-
"170307 Barra do Ouro";-;-;-;-;-;-;-
"170310 Barrolândia";-;-;-;-;-;-;-
"170320 Bernardo Sayão";-;-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;1;-;-;1
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-
"170370 Brejinho de Nazaré";-;-;-;-;-;-;-
"170380 Buriti do Tocantins";-;-;-;-;-;-;-
"170382 Cachoeirinha";-;-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;1;-;-;1
"170386 Cariri do Tocantins";-;-;-;-;-;-;-
"170388 Carmolândia";-;-;-;-;-;-;-
"170389 Carrasco Bonito";-;-;-;-;-;-;-
"170390 Caseara";-;-;-;-;-;-;-
"170410 Centenário";-;-;-;-;-;-;-
"170510 Chapada da Natividade";-;-;-;1;-;-;1
"170460 Chapada de Areia";-;-;-;1;-;-;1
"170550 Colinas do Tocantins";2;-;-;1;-;-;3
"171670 Colméia";-;-;-;1;-;-;1
"170555 Combinado";-;-;-;1;-;-;1
"170560 Conceição do Tocantins";-;-;-;-;-;-;-
"170600 Couto Magalhães";-;-;-;1;-;-;1
"170610 Cristalândia";-;-;-;-;-;-;-
"170625 Crixás do Tocantins";-;-;-;-;-;-;-
"170650 Darcinópolis";-;-;-;1;-;-;1
"170700 Dianópolis";1;-;-;1;-;-;2
"170710 Divinópolis do Tocantins";-;-;-;2;-;-;2
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-
"170730 Dueré";-;-;-;-;-;-;-
"170740 Esperantina";-;-;-;1;-;-;1
"170755 Fátima";1;-;-;-;-;-;1
"170765 Figueirópolis";-;-;-;-;-;-;-
"170770 Filadélfia";-;-;-;1;-;-;1
"170820 Formoso do Araguaia";1;-;-;2;2;-;5
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-
"170830 Goianorte";-;-;-;-;-;-;-
"170900 Goiatins";-;-;-;-;2;-;2
"170930 Guaraí";3;-;-;4;-;1;8
"170950 Gurupi";4;-;-;6;-;-;10
"170980 Ipueiras";-;-;-;-;-;-;-
"171050 Itacajá";-;-;-;1;-;-;1
"171070 Itaguatins";-;-;-;-;-;-;-
"171090 Itapiratins";-;-;-;1;-;-;1
"171110 Itaporã do Tocantins";-;-;-;1;-;-;1
"171150 Jaú do Tocantins";-;-;-;-;-;-;-
"171180 Juarina";-;-;-;-;-;-;-
"171190 Lagoa da Confusão";1;-;-;1;-;-;2
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-
"171200 Lajeado";-;-;-;1;-;-;1
"171215 Lavandeira";-;-;-;-;-;-;-
"171240 Lizarda";-;-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;-;-;-;-
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-
"171270 Mateiros";1;-;-;-;-;-;1
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-
"171320 Miracema do Tocantins";-;-;-;-;-;-;-
"171330 Miranorte";-;-;-;-;-;-;-
"171360 Monte do Carmo";-;-;-;-;-;-;-
"171370 Monte Santo do Tocantins";-;-;-;-;-;-;-
"171395 Muricilândia";-;-;-;1;-;-;1
"171420 Natividade";-;-;-;-;-;-;-
"171430 Nazaré";-;-;-;-;-;-;-
"171488 Nova Olinda";-;-;-;2;-;1;3
"171500 Nova Rosalândia";-;-;-;2;-;-;2
"171510 Novo Acordo";1;-;-;-;-;-;1
"171515 Novo Alegre";-;-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-;-;-;-
"172100 Palmas";11;2;-;31;-;5;49
"171570 Palmeirante";-;-;-;-;-;-;-
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-
"171575 Palmeirópolis";-;-;-;-;-;-;-
"171610 Paraíso do Tocantins";-;-;-;3;-;-;3
"171620 Paranã";-;-;-;-;-;-;-
"171630 Pau D'Arco";-;-;-;-;-;-;-
"171650 Pedro Afonso";-;1;-;-;-;-;1
"171660 Peixe";-;-;-;-;-;1;1
"171665 Pequizeiro";-;-;-;-;-;-;-
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-
"171720 Piraquê";-;-;-;-;-;-;-
"171750 Pium";-;-;-;2;-;-;2
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-
"171790 Ponte Alta do Tocantins";1;-;-;-;-;-;1
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-
"171820 Porto Nacional";3;-;-;3;-;-;6
"171830 Praia Norte";-;-;-;1;-;-;1
"171840 Presidente Kennedy";-;-;-;-;-;-;-
"171845 Pugmil";-;-;-;-;-;-;-
"171850 Recursolândia";-;-;-;-;-;-;-
"171855 Riachinho";-;-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;-;-;-
"171870 Rio dos Bois";1;-;-;1;-;-;2
"171875 Rio Sono";-;-;-;-;-;-;-
"171880 Sampaio";-;-;-;-;-;-;-
"171884 Sandolândia";-;-;-;1;-;-;1
"171886 Santa Fé do Araguaia";-;-;-;1;-;-;1
"171888 Santa Maria do Tocantins";-;-;-;-;-;-;-
"171889 Santa Rita do Tocantins";-;-;-;-;-;-;-
"171890 Santa Rosa do Tocantins";-;1;-;1;-;-;2
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-;1;-;-;1
"172010 São Bento do Tocantins";-;-;-;-;-;-;-
"172015 São Félix do Tocantins";-;-;-;-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;1;-;-;1
"172025 São Salvador do Tocantins";-;-;-;-;-;-;-
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-
"172049 São Valério";1;-;-;-;-;-;1
"172065 Silvanópolis";1;-;-;2;-;-;3
"172080 Sítio Novo do Tocantins";-;-;-;3;-;-;3
"172085 Sucupira";-;-;-;-;-;-;-
"172090 Taguatinga";-;-;-;-;-;1;1
"172093 Taipas do Tocantins";-;-;-;-;-;-;-
"172097 Talismã";-;-;-;-;-;-;-
"172110 Tocantínia";-;-;-;2;-;-;2
"172120 Tocantinópolis";1;-;-;1;-;1;3
"172125 Tupirama";1;-;-;-;-;-;1
"172130 Tupiratins";-;-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;-;-;-;-
"172210 Xambioá";1;-;-;1;-;-;2
"170000 Município ignorado - TO";-;-;-;-;-;-;-
"210005 Açailândia";3;2;-;11;-;1;17
"210010 Afonso Cunha";-;-;-;-;-;-;-
"210015 Água Doce do Maranhão";-;-;-;-;-;-;-
"210020 Alcântara";-;1;-;-;-;-;1
"210030 Aldeias Altas";-;-;-;-;-;1;1
"210040 Altamira do Maranhão";-;-;-;1;-;-;1
"210043 Alto Alegre do Maranhão";-;-;-;4;-;-;4
"210047 Alto Alegre do Pindaré";-;-;-;3;-;-;3
"210050 Alto Parnaíba";-;-;-;1;-;-;1
"210055 Amapá do Maranhão";-;-;-;-;-;-;-
"210060 Amarante do Maranhão";-;-;-;1;1;-;2
"210070 Anajatuba";2;1;-;3;-;-;6
"210080 Anapurus";1;-;-;2;-;-;3
"210083 Apicum-Açu";-;-;-;-;-;-;-
"210087 Araguanã";-;-;-;-;-;-;-
"210090 Araioses";-;-;-;2;-;1;3
"210095 Arame";-;-;-;2;1;-;3
"210100 Arari";2;1;-;3;-;-;6
"210110 Axixá";-;-;-;1;-;-;1
"210120 Bacabal";4;3;-;9;-;-;16
"210125 Bacabeira";-;-;-;1;-;-;1
"210130 Bacuri";-;1;-;-;-;-;1
"210135 Bacurituba";-;1;-;-;-;-;1
"210140 Balsas";7;2;-;7;-;-;16
"210150 Barão de Grajaú";2;-;-;1;-;-;3
"210160 Barra do Corda";2;1;-;7;-;1;11
"210170 Barreirinhas";1;-;-;3;-;-;4
"210177 Bela Vista do Maranhão";-;-;-;-;-;-;-
"210173 Belágua";-;-;-;-;-;-;-
"210180 Benedito Leite";-;-;-;-;-;-;-
"210190 Bequimão";1;-;-;-;-;-;1
"210193 Bernardo do Mearim";-;-;-;-;-;-;-
"210197 Boa Vista do Gurupi";-;-;-;1;-;-;1
"210200 Bom Jardim";1;1;-;1;1;-;4
"210203 Bom Jesus das Selvas";-;-;-;-;-;-;-
"210207 Bom Lugar";-;-;-;-;-;-;-
"210210 Brejo";1;-;-;1;-;-;2
"210215 Brejo de Areia";-;-;-;-;-;-;-
"210220 Buriti";-;-;-;2;-;-;2
"210230 Buriti Bravo";-;1;-;1;-;-;2
"210232 Buriticupu";-;2;-;8;-;-;10
"210235 Buritirana";-;-;-;-;-;-;-
"210237 Cachoeira Grande";-;-;-;-;-;-;-
"210240 Cajapió";-;1;-;-;-;-;1
"210250 Cajari";-;-;-;1;-;-;1
"210255 Campestre do Maranhão";-;-;-;-;-;-;-
"210260 Cândido Mendes";-;-;-;-;-;-;-
"210270 Cantanhede";1;-;-;1;-;-;2
"210275 Capinzal do Norte";1;-;-;5;-;-;6
"210280 Carolina";-;-;-;-;-;-;-
"210290 Carutapera";-;-;-;1;-;-;1
"210300 Caxias";2;1;-;16;-;1;20
"210310 Cedral";-;-;-;-;-;-;-
"210312 Central do Maranhão";-;1;-;-;-;-;1
"210315 Centro do Guilherme";-;-;-;-;-;-;-
"210317 Centro Novo do Maranhão";-;-;-;1;-;-;1
"210320 Chapadinha";3;-;-;3;-;-;6
"210325 Cidelândia";-;-;-;-;-;-;-
"210330 Codó";-;4;-;9;-;1;14
"210340 Coelho Neto";1;1;-;1;-;-;3
"210350 Colinas";1;1;-;2;-;-;4
"210355 Conceição do Lago-Açu";1;1;-;1;-;-;3
"210360 Coroatá";1;-;-;3;-;1;5
"210370 Cururupu";-;-;-;1;-;-;1
"210375 Davinópolis";-;-;-;2;-;-;2
"210380 Dom Pedro";1;1;-;1;-;1;4
"210390 Duque Bacelar";-;-;-;-;-;-;-
"210400 Esperantinópolis";-;-;-;-;-;-;-
"210405 Estreito";-;-;-;5;-;-;5
"210407 Feira Nova do Maranhão";-;-;-;1;-;-;1
"210408 Fernando Falcão";1;-;-;-;-;-;1
