 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2014
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"130310 Nova Olinda do Norte";-;-;-;2;-;-;2
"130320 Novo Airão";1;-;-;4;-;-;5
"130330 Novo Aripuanã";-;-;-;-;-;-;-
"130340 Parintins";-;-;-;5;-;-;5
"130350 Pauini";-;-;-;-;-;-;-
"130353 Presidente Figueiredo";-;-;-;2;-;-;2
"130356 Rio Preto da Eva";-;-;-;-;-;-;-
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-
"130370 Santo Antônio do Içá";-;-;-;1;1;-;2
"130380 São Gabriel da Cachoeira";-;-;-;-;12;-;12
"130390 São Paulo de Olivença";-;-;-;2;2;-;4
"130395 São Sebastião do Uatumã";-;-;-;1;-;-;1
"130400 Silves";-;-;-;-;-;-;-
"130406 Tabatinga";-;-;-;2;4;-;6
"130410 Tapauá";-;-;-;3;-;-;3
"130420 Tefé";1;-;-;4;-;1;6
"130423 Tonantins";-;-;-;-;-;-;-
"130426 Uarini";-;-;-;-;-;-;-
"130430 Urucará";-;-;-;1;-;-;1
"130440 Urucurituba";-;-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-;-
"140005 Alto Alegre";-;-;-;-;7;-;7
"140002 Amajari";-;-;-;1;-;-;1
"140010 Boa Vista";6;2;-;30;-;4;42
"140015 Bonfim";-;-;-;3;-;-;3
"140017 Cantá";-;-;-;2;-;-;2
"140020 Caracaraí";-;-;-;3;4;-;7
"140023 Caroebe";-;1;-;1;-;-;2
"140028 Iracema";-;-;-;-;4;-;4
"140030 Mucajaí";1;-;-;1;1;1;4
"140040 Normandia";-;-;-;-;1;-;1
"140045 Pacaraima";1;-;-;-;-;-;1
"140047 Rorainópolis";-;-;-;-;-;-;-
"140050 São João da Baliza";-;-;-;1;-;-;1
"140060 São Luiz";-;-;-;-;-;-;-
"140070 Uiramutã";-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";-;1;-;8;-;-;9
"150013 Abel Figueiredo";-;-;-;-;-;-;-
"150020 Acará";-;-;-;2;-;-;2
"150030 Afuá";-;-;-;-;-;-;-
"150034 Água Azul do Norte";-;-;-;-;-;-;-
"150040 Alenquer";1;-;-;3;-;-;4
"150050 Almeirim";-;-;-;4;-;-;4
"150060 Altamira";6;2;-;11;-;-;19
"150070 Anajás";-;-;-;1;-;-;1
"150080 Ananindeua";5;1;-;38;-;-;44
"150085 Anapu";1;-;-;-;-;-;1
"150090 Augusto Corrêa";-;-;-;1;-;-;1
"150095 Aurora do Pará";2;-;-;2;-;-;4
"150100 Aveiro";-;-;-;1;-;-;1
"150110 Bagre";-;-;-;-;-;-;-
"150120 Baião";-;-;-;-;-;-;-
"150125 Bannach";-;-;-;-;-;-;-
"150130 Barcarena";-;1;-;8;-;-;9
"150140 Belém";29;4;1;137;-;6;177
"150145 Belterra";2;-;-;1;-;-;3
"150150 Benevides";-;-;-;6;-;-;6
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-
"150160 Bonito";-;-;-;3;-;-;3
"150170 Bragança";1;-;-;7;-;-;8
"150172 Brasil Novo";-;-;-;1;-;-;1
"150175 Brejo Grande do Araguaia";-;-;-;-;-;-;-
"150178 Breu Branco";2;-;-;2;-;-;4
"150180 Breves";-;-;-;3;-;-;3
"150190 Bujaru";-;-;-;3;-;-;3
"150200 Cachoeira do Arari";-;-;-;1;-;-;1
"150195 Cachoeira do Piriá";-;-;-;1;-;-;1
"150210 Cametá";1;-;-;4;-;1;6
"150215 Canaã dos Carajás";2;1;-;8;-;-;11
"150220 Capanema";2;-;-;6;-;-;8
"150230 Capitão Poço";-;-;-;3;-;-;3
"150240 Castanhal";6;-;-;13;-;5;24
"150250 Chaves";-;-;-;1;-;-;1
"150260 Colares";-;-;-;1;-;-;1
"150270 Conceição do Araguaia";2;-;-;5;-;-;7
"150275 Concórdia do Pará";-;-;-;4;-;-;4
"150276 Cumaru do Norte";1;-;-;2;-;-;3
"150277 Curionópolis";2;-;-;3;-;-;5
"150280 Curralinho";-;-;-;2;-;-;2
"150285 Curuá";-;-;-;-;-;-;-
"150290 Curuçá";-;1;-;3;-;-;4
"150293 Dom Eliseu";1;-;-;7;-;-;8
"150295 Eldorado do Carajás";-;-;-;6;-;-;6
"150300 Faro";-;-;-;-;-;-;-
"150304 Floresta do Araguaia";-;-;-;4;-;-;4
"150307 Garrafão do Norte";-;-;-;1;-;-;1
"150309 Goianésia do Pará";1;-;-;3;-;-;4
"150310 Gurupá";-;-;-;-;-;-;-
"150320 Igarapé-Açu";1;-;-;3;-;-;4
"150330 Igarapé-Miri";-;-;-;2;-;-;2
"150340 Inhangapi";-;1;-;-;-;-;1
"150345 Ipixuna do Pará";-;1;-;-;-;-;1
"150350 Irituia";1;1;-;-;-;-;2
"150360 Itaituba";2;-;-;17;-;-;19
"150370 Itupiranga";1;1;-;3;-;-;5
"150375 Jacareacanga";-;-;-;1;2;-;3
"150380 Jacundá";1;-;-;5;-;-;6
"150390 Juruti";-;-;-;2;-;-;2
"150400 Limoeiro do Ajuru";-;-;-;1;-;-;1
"150405 Mãe do Rio";1;-;-;6;-;-;7
"150410 Magalhães Barata";-;-;-;-;-;-;-
"150420 Marabá";4;1;-;23;1;-;29
"150430 Maracanã";-;-;-;1;-;-;1
"150440 Marapanim";-;-;-;1;-;-;1
"150442 Marituba";2;-;-;17;-;1;20
"150445 Medicilândia";1;-;-;2;-;-;3
"150450 Melgaço";1;-;-;1;-;-;2
"150460 Mocajuba";-;1;-;-;-;-;1
"150470 Moju";-;-;-;5;-;-;5
"150475 Mojuí dos Campos";-;-;-;-;-;-;-
"150480 Monte Alegre";1;-;-;3;-;-;4
"150490 Muaná";1;-;-;1;-;-;2
"150495 Nova Esperança do Piriá";-;-;-;3;-;-;3
"150497 Nova Ipixuna";1;-;-;1;-;-;2
"150500 Nova Timboteua";-;-;-;1;-;1;2
"150503 Novo Progresso";-;1;-;4;-;-;5
"150506 Novo Repartimento";2;-;-;3;-;-;5
"150510 Óbidos";-;-;-;5;-;-;5
"150520 Oeiras do Pará";-;-;-;-;-;-;-
"150530 Oriximiná";3;-;-;5;1;-;9
"150540 Ourém";-;1;-;3;-;-;4
"150543 Ourilândia do Norte";-;-;-;1;-;-;1
"150548 Pacajá";-;2;-;2;-;-;4
"150549 Palestina do Pará";-;-;-;3;-;-;3
"150550 Paragominas";2;-;-;13;1;-;16
"150553 Parauapebas";5;4;-;12;-;-;21
"150555 Pau D'Arco";1;-;-;-;-;-;1
"150560 Peixe-Boi";-;-;-;-;-;-;-
"150563 Piçarra";-;-;-;1;-;-;1
"150565 Placas";-;-;-;1;-;-;1
"150570 Ponta de Pedras";-;-;-;1;-;-;1
"150580 Portel";-;-;-;3;-;-;3
"150590 Porto de Moz";-;-;-;4;-;-;4
"150600 Prainha";-;-;-;1;-;-;1
"150610 Primavera";-;-;-;1;-;-;1
"150611 Quatipuru";-;-;-;1;-;-;1
"150613 Redenção";2;1;-;14;-;-;17
"150616 Rio Maria";1;-;-;2;-;-;3
"150618 Rondon do Pará";3;-;-;2;-;-;5
"150619 Rurópolis";-;-;-;1;-;1;2
"150620 Salinópolis";1;-;-;3;-;-;4
"150630 Salvaterra";-;-;-;-;-;-;-
"150635 Santa Bárbara do Pará";-;-;-;2;-;-;2
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;7;-;1;8
"150655 Santa Luzia do Pará";-;1;-;1;-;-;2
"150658 Santa Maria das Barreiras";-;-;-;3;-;-;3
"150660 Santa Maria do Pará";-;-;-;2;-;-;2
"150670 Santana do Araguaia";-;3;-;7;-;-;10
"150680 Santarém";-;2;-;20;-;-;22
"150690 Santarém Novo";-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;-;-;5;-;-;5
"150710 São Caetano de Odivelas";-;-;-;1;-;-;1
"150715 São Domingos do Araguaia";-;-;-;7;-;-;7
"150720 São Domingos do Capim";-;-;-;2;-;-;2
"150730 São Félix do Xingu";-;2;-;5;-;-;7
"150740 São Francisco do Pará";-;-;-;4;-;-;4
"150745 São Geraldo do Araguaia";1;1;-;2;-;-;4
"150746 São João da Ponta";-;-;-;1;-;-;1
"150747 São João de Pirabas";-;-;-;1;-;-;1
"150750 São João do Araguaia";-;-;-;-;-;-;-
"150760 São Miguel do Guamá";-;-;-;7;-;-;7
"150770 São Sebastião da Boa Vista";-;-;-;1;-;-;1
"150775 Sapucaia";-;-;-;-;-;-;-
"150780 Senador José Porfírio";-;-;-;1;-;-;1
"150790 Soure";-;-;-;1;-;-;1
"150795 Tailândia";1;2;-;4;-;1;8
"150796 Terra Alta";-;-;-;-;-;-;-
"150797 Terra Santa";-;-;-;1;-;-;1
"150800 Tomé-Açu";-;-;-;2;-;-;2
"150803 Tracuateua";-;-;-;1;-;-;1
"150805 Trairão";-;-;-;1;-;-;1
"150808 Tucumã";1;-;-;3;-;-;4
"150810 Tucuruí";1;2;-;5;-;-;8
"150812 Ulianópolis";1;1;-;3;-;1;6
"150815 Uruará";1;-;-;4;-;-;5
"150820 Vigia";1;-;-;5;-;-;6
"150830 Viseu";1;-;-;4;-;1;6
"150835 Vitória do Xingu";-;-;-;1;-;-;1
"150840 Xinguara";1;-;-;2;-;-;3
"150000 Município ignorado - PA";-;-;-;1;-;-;1
"160010 Amapá";-;-;-;1;-;-;1
"160020 Calçoene";-;-;-;3;-;-;3
"160021 Cutias";-;-;-;1;-;-;1
"160023 Ferreira Gomes";-;-;-;-;-;-;-
"160025 Itaubal";-;-;-;-;-;-;-
"160027 Laranjal do Jari";-;-;-;4;-;-;4
"160030 Macapá";3;2;1;32;-;5;43
"160040 Mazagão";-;-;-;1;-;-;1
"160050 Oiapoque";-;1;-;-;1;-;2
"160015 Pedra Branca do Amapari";-;-;-;-;1;-;1
"160053 Porto Grande";-;-;-;3;-;-;3
"160055 Pracuúba";-;-;-;1;-;-;1
"160060 Santana";1;-;1;8;-;-;10
"160005 Serra do Navio";-;-;-;-;-;-;-
"160070 Tartarugalzinho";-;-;-;-;-;-;-
"160080 Vitória do Jari";-;-;-;1;-;-;1
"160000 Município ignorado - AP";-;-;-;-;-;-;-
"170025 Abreulândia";-;-;-;1;-;-;1
"170030 Aguiarnópolis";-;-;-;-;-;-;-
"170035 Aliança do Tocantins";-;-;-;1;-;-;1
"170040 Almas";-;-;-;1;-;-;1
"170070 Alvorada";1;-;-;-;-;-;1
"170100 Ananás";1;-;-;1;-;-;2
"170105 Angico";-;-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;1;-;-;1
"170130 Aragominas";-;1;-;1;-;-;2
"170190 Araguacema";1;-;-;1;-;-;2
"170200 Araguaçu";-;-;-;1;-;-;1
"170210 Araguaína";12;2;-;22;-;1;37
"170215 Araguanã";1;-;-;-;-;-;1
"170220 Araguatins";-;-;-;2;-;1;3
"170230 Arapoema";1;-;-;-;-;-;1
"170240 Arraias";2;1;-;2;-;-;5
"170255 Augustinópolis";-;-;-;-;-;-;-
"170270 Aurora do Tocantins";-;-;-;1;-;-;1
"170290 Axixá do Tocantins";1;2;-;1;-;1;5
"170300 Babaçulândia";1;-;-;-;-;-;1
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-
"170307 Barra do Ouro";-;-;-;-;-;-;-
"170310 Barrolândia";-;-;-;1;-;-;1
"170320 Bernardo Sayão";-;-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;2;-;-;2
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-
"170370 Brejinho de Nazaré";-;-;-;1;-;-;1
"170380 Buriti do Tocantins";-;-;-;-;-;-;-
"170382 Cachoeirinha";-;-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;1;-;-;1
"170386 Cariri do Tocantins";-;-;-;-;-;-;-
"170388 Carmolândia";-;-;-;-;-;-;-
"170389 Carrasco Bonito";1;-;-;2;-;-;3
"170390 Caseara";-;-;-;-;-;-;-
"170410 Centenário";-;-;-;-;-;-;-
"170510 Chapada da Natividade";-;-;-;-;-;-;-
"170460 Chapada de Areia";-;-;-;-;-;-;-
"170550 Colinas do Tocantins";3;-;-;2;-;-;5
"171670 Colméia";-;1;-;2;-;1;4
"170555 Combinado";-;-;-;-;-;-;-
"170560 Conceição do Tocantins";-;2;-;-;-;-;2
"170600 Couto Magalhães";-;-;-;1;-;-;1
"170610 Cristalândia";-;-;-;-;-;-;-
"170625 Crixás do Tocantins";-;-;-;-;-;-;-
"170650 Darcinópolis";1;-;-;1;-;-;2
"170700 Dianópolis";1;-;-;1;-;-;2
"170710 Divinópolis do Tocantins";-;-;-;3;-;-;3
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-
"170730 Dueré";-;-;-;-;-;-;-
"170740 Esperantina";-;-;-;-;-;-;-
"170755 Fátima";-;-;-;-;-;-;-
"170765 Figueirópolis";-;-;-;-;-;-;-
"170770 Filadélfia";-;-;-;1;-;-;1
"170820 Formoso do Araguaia";-;-;-;1;-;1;2
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-
"170830 Goianorte";-;-;-;-;-;1;1
"170900 Goiatins";-;-;-;-;-;-;-
"170930 Guaraí";-;-;-;3;-;-;3
"170950 Gurupi";3;-;-;6;-;1;10
"170980 Ipueiras";-;-;-;-;-;-;-
"171050 Itacajá";-;-;-;1;-;-;1
"171070 Itaguatins";-;-;-;2;-;-;2
"171090 Itapiratins";-;-;-;-;-;-;-
"171110 Itaporã do Tocantins";1;1;-;1;-;-;3
"171150 Jaú do Tocantins";-;-;-;-;-;-;-
"171180 Juarina";-;-;-;2;-;-;2
"171190 Lagoa da Confusão";-;-;-;1;-;1;2
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-
"171200 Lajeado";1;-;-;1;-;-;2
"171215 Lavandeira";-;-;-;-;-;-;-
"171240 Lizarda";-;-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;-;-;-;-
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-
"171270 Mateiros";-;-;-;-;-;-;-
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-
"171320 Miracema do Tocantins";1;-;-;3;-;-;4
"171330 Miranorte";1;-;-;2;-;-;3
"171360 Monte do Carmo";-;-;-;-;-;-;-
"171370 Monte Santo do Tocantins";1;-;-;1;-;-;2
"171395 Muricilândia";-;-;-;-;-;-;-
"171420 Natividade";-;-;-;1;-;-;1
"171430 Nazaré";-;-;-;-;-;-;-
"171488 Nova Olinda";-;1;-;1;-;1;3
"171500 Nova Rosalândia";-;-;-;-;-;-;-
"171510 Novo Acordo";1;2;-;1;-;-;4
"171515 Novo Alegre";-;-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-;-;-;-
"172100 Palmas";15;-;-;19;-;2;36
"171570 Palmeirante";-;-;-;1;-;-;1
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-
"171575 Palmeirópolis";1;1;-;-;-;-;2
"171610 Paraíso do Tocantins";3;-;-;2;-;-;5
"171620 Paranã";-;-;-;2;-;-;2
"171630 Pau D'Arco";-;-;-;-;-;-;-
"171650 Pedro Afonso";-;-;-;-;-;-;-
"171660 Peixe";-;-;-;2;-;1;3
"171665 Pequizeiro";-;-;-;-;-;-;-
"171700 Pindorama do Tocantins";1;-;-;-;-;-;1
"171720 Piraquê";-;-;-;-;-;-;-
"171750 Pium";2;-;-;2;-;-;4
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;-
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-
"171820 Porto Nacional";1;3;-;3;-;-;7
"171830 Praia Norte";-;-;-;-;-;-;-
"171840 Presidente Kennedy";1;-;-;2;-;-;3
"171845 Pugmil";-;-;-;-;-;-;-
"171850 Recursolândia";-;-;-;1;-;-;1
"171855 Riachinho";-;-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;-;-;-
"171870 Rio dos Bois";-;-;-;1;-;-;1
"171875 Rio Sono";-;-;-;-;-;-;-
"171880 Sampaio";-;-;-;1;-;-;1
"171884 Sandolândia";-;1;-;1;-;-;2
"171886 Santa Fé do Araguaia";-;-;-;-;-;-;-
"171888 Santa Maria do Tocantins";-;-;-;1;-;-;1
"171889 Santa Rita do Tocantins";-;-;-;1;-;-;1
"171890 Santa Rosa do Tocantins";-;-;-;1;-;-;1
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-
"172010 São Bento do Tocantins";2;-;-;1;-;-;3
"172015 São Félix do Tocantins";-;-;-;-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;2;-;-;2
"172025 São Salvador do Tocantins";1;-;-;-;-;-;1
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-
"172049 São Valério";-;-;-;1;-;-;1
"172065 Silvanópolis";-;-;-;1;-;-;1
"172080 Sítio Novo do Tocantins";-;1;-;-;-;1;2
"172085 Sucupira";-;-;-;-;-;-;-
"172090 Taguatinga";-;-;-;2;-;-;2
"172093 Taipas do Tocantins";-;-;-;1;-;-;1
"172097 Talismã";-;-;-;2;-;-;2
"172110 Tocantínia";-;-;-;-;-;-;-
"172120 Tocantinópolis";1;-;-;2;-;-;3
"172125 Tupirama";-;-;-;-;-;-;-
"172130 Tupiratins";-;-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;-;-;-;-
"172210 Xambioá";-;1;-;2;-;-;3
"170000 Município ignorado - TO";-;-;-;1;-;-;1
"210005 Açailândia";2;1;-;12;-;-;15
"210010 Afonso Cunha";-;-;-;1;-;-;1
"210015 Água Doce do Maranhão";2;-;-;-;-;-;2
"210020 Alcântara";-;-;-;-;-;-;-
"210030 Aldeias Altas";-;-;-;-;-;-;-
"210040 Altamira do Maranhão";-;-;-;2;-;-;2
"210043 Alto Alegre do Maranhão";2;-;-;2;-;-;4
"210047 Alto Alegre do Pindaré";-;-;-;1;-;-;1
"210050 Alto Parnaíba";-;-;-;-;-;-;-
"210055 Amapá do Maranhão";-;-;-;1;-;-;1
"210060 Amarante do Maranhão";2;-;-;3;2;-;7
"210070 Anajatuba";-;-;-;1;-;-;1
"210080 Anapurus";-;-;-;4;-;-;4
"210083 Apicum-Açu";-;-;-;-;-;-;-
"210087 Araguanã";-;-;-;1;-;-;1
"210090 Araioses";-;-;-;-;-;-;-
"210095 Arame";1;-;-;2;-;-;3
"210100 Arari";2;-;-;-;-;-;2
"210110 Axixá";-;-;-;1;-;-;1
"210120 Bacabal";5;2;-;2;-;-;9
"210125 Bacabeira";-;-;-;2;-;-;2
"210130 Bacuri";-;1;-;7;-;-;8
"210135 Bacurituba";-;-;-;-;-;-;-
"210140 Balsas";4;1;-;5;-;2;12
"210150 Barão de Grajaú";1;-;-;2;-;-;3
"210160 Barra do Corda";7;-;-;6;-;-;13
"210170 Barreirinhas";-;-;-;3;-;-;3
"210177 Bela Vista do Maranhão";1;1;-;3;-;-;5
"210173 Belágua";-;-;-;-;-;-;-
"210180 Benedito Leite";-;1;-;-;-;-;1
"210190 Bequimão";1;-;-;-;-;1;2
"210193 Bernardo do Mearim";1;-;-;-;-;-;1
"210197 Boa Vista do Gurupi";-;-;-;1;-;-;1
"210200 Bom Jardim";-;-;-;3;-;-;3
"210203 Bom Jesus das Selvas";-;-;-;3;-;-;3
"210207 Bom Lugar";-;-;-;-;-;-;-
"210210 Brejo";-;-;-;3;-;-;3
"210215 Brejo de Areia";-;-;-;-;-;-;-
"210220 Buriti";-;-;-;3;-;-;3
"210230 Buriti Bravo";2;1;-;3;-;-;6
"210232 Buriticupu";-;-;-;13;-;1;14
"210235 Buritirana";-;-;-;-;-;-;-
"210237 Cachoeira Grande";-;-;-;1;-;-;1
"210240 Cajapió";-;-;-;-;-;-;-
"210250 Cajari";-;-;-;6;-;-;6
"210255 Campestre do Maranhão";-;-;-;5;-;-;5
"210260 Cândido Mendes";1;-;-;-;-;-;1
"210270 Cantanhede";2;1;-;3;-;-;6
"210275 Capinzal do Norte";1;-;-;1;-;-;2
"210280 Carolina";-;-;-;6;-;-;6
"210290 Carutapera";-;-;-;-;-;-;-
"210300 Caxias";6;1;-;11;-;-;18
"210310 Cedral";-;-;-;-;-;-;-
"210312 Central do Maranhão";-;-;-;-;-;-;-
"210315 Centro do Guilherme";1;-;-;-;-;-;1
"210317 Centro Novo do Maranhão";-;-;-;-;-;-;-
"210320 Chapadinha";3;2;-;10;-;-;15
"210325 Cidelândia";-;-;-;-;-;-;-
"210330 Codó";5;3;-;13;-;-;21
"210340 Coelho Neto";-;-;-;2;-;-;2
"210350 Colinas";3;-;-;1;-;-;4
"210355 Conceição do Lago-Açu";-;-;-;1;-;-;1
"210360 Coroatá";-;-;-;4;-;-;4
"210370 Cururupu";-;5;-;1;-;-;6
"210375 Davinópolis";1;-;-;4;-;-;5
"210380 Dom Pedro";-;-;-;1;-;-;1
"210390 Duque Bacelar";-;-;-;-;-;-;-
"210400 Esperantinópolis";1;-;-;-;-;-;1
"210405 Estreito";-;1;-;3;-;-;4
"210407 Feira Nova do Maranhão";-;-;-;-;-;-;-
"210408 Fernando Falcão";-;-;-;-;-;-;-
