 Óbitos por Causas Externas - Brasil
Óbitos p/Residênc por Município e Cor/raça
Sexo: Fem
Período:2012
"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"120039 Porto Walter";1;-;-;-;-;-;1
"120040 Rio Branco";11;-;-;32;1;2;46
"120042 Rodrigues Alves";1;-;-;1;-;-;2
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-
"120050 Sena Madureira";1;-;-;3;-;-;4
"120045 Senador Guiomard";-;-;-;3;-;-;3
"120060 Tarauacá";2;-;-;2;-;1;5
"120070 Xapuri";-;-;-;1;-;-;1
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;3;-;-;3
"130006 Amaturá";-;-;-;1;-;-;1
"130008 Anamã";-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-
"130014 Apuí";-;-;-;2;-;-;2
"130020 Atalaia do Norte";-;-;-;1;3;-;4
"130030 Autazes";-;-;-;-;-;-;-
"130040 Barcelos";-;-;-;1;14;1;16
"130050 Barreirinha";-;-;-;1;-;-;1
"130060 Benjamin Constant";1;-;-;2;2;-;5
"130063 Beruri";-;-;-;-;-;-;-
"130068 Boa Vista do Ramos";-;-;-;1;-;-;1
"130070 Boca do Acre";-;-;-;1;-;-;1
"130080 Borba";-;-;-;1;-;-;1
"130083 Caapiranga";-;-;-;-;-;-;-
"130090 Canutama";-;-;-;-;-;-;-
"130100 Carauari";-;-;-;-;-;-;-
"130110 Careiro";-;-;-;-;-;-;-
"130115 Careiro da Várzea";-;-;-;-;-;-;-
"130120 Coari";3;-;-;3;-;-;6
"130130 Codajás";-;-;-;1;-;-;1
"130140 Eirunepé";-;-;-;-;2;-;2
"130150 Envira";-;-;-;2;2;-;4
"130160 Fonte Boa";-;-;-;-;-;-;-
"130165 Guajará";2;-;-;1;-;-;3
"130170 Humaitá";-;1;-;9;1;-;11
"130180 Ipixuna";-;-;-;-;-;-;-
"130185 Iranduba";-;-;-;3;-;1;4
"130190 Itacoatiara";1;-;-;8;-;-;9
"130195 Itamarati";-;-;-;-;-;-;-
"130200 Itapiranga";-;-;-;2;-;-;2
"130210 Japurá";-;-;-;-;-;-;-
"130220 Juruá";-;-;-;-;-;-;-
"130230 Jutaí";-;-;-;3;-;-;3
"130240 Lábrea";1;-;-;3;-;1;5
"130250 Manacapuru";-;-;-;8;-;1;9
"130255 Manaquiri";1;-;-;1;-;-;2
"130260 Manaus";33;5;-;173;-;2;213
"130270 Manicoré";-;-;-;1;-;1;2
"130280 Maraã";-;-;-;1;-;-;1
"130290 Maués";1;1;-;3;-;-;5
"130300 Nhamundá";-;-;-;2;-;-;2
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-
"130320 Novo Airão";-;-;-;1;-;-;1
"130330 Novo Aripuanã";-;-;-;2;-;-;2
"130340 Parintins";2;-;-;5;-;-;7
"130350 Pauini";-;-;-;-;-;-;-
"130353 Presidente Figueiredo";-;1;-;-;-;-;1
"130356 Rio Preto da Eva";-;1;-;3;-;-;4
"130360 Santa Isabel do Rio Negro";-;-;-;-;2;-;2
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-
"130380 São Gabriel da Cachoeira";1;-;-;-;13;-;14
"130390 São Paulo de Olivença";-;-;-;1;4;-;5
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-
"130400 Silves";-;-;-;-;-;-;-
"130406 Tabatinga";-;-;-;2;5;-;7
"130410 Tapauá";-;-;-;2;-;-;2
"130420 Tefé";-;-;-;9;-;-;9
"130423 Tonantins";-;-;-;-;1;-;1
"130426 Uarini";-;-;-;-;-;-;-
"130430 Urucará";-;-;-;3;-;-;3
"130440 Urucurituba";-;-;-;-;-;-;-
"130000 Município ignorado - AM";1;-;-;-;-;-;1
"140005 Alto Alegre";-;-;-;-;10;-;10
"140002 Amajari";-;-;-;-;5;-;5
"140010 Boa Vista";11;-;-;31;1;1;44
"140015 Bonfim";-;-;-;1;1;-;2
"140017 Cantá";-;-;-;1;-;1;2
"140020 Caracaraí";-;-;-;1;4;-;5
"140023 Caroebe";1;-;-;1;-;-;2
"140028 Iracema";-;-;-;-;-;-;-
"140030 Mucajaí";-;-;-;-;-;-;-
"140040 Normandia";-;-;-;-;-;-;-
"140045 Pacaraima";-;-;-;-;-;-;-
"140047 Rorainópolis";-;-;-;1;-;-;1
"140050 São João da Baliza";-;-;-;1;-;-;1
"140060 São Luiz";-;-;-;-;-;-;-
"140070 Uiramutã";-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";2;-;-;7;-;-;9
"150013 Abel Figueiredo";-;1;-;4;-;-;5
"150020 Acará";-;-;-;2;-;-;2
"150030 Afuá";1;-;-;2;-;-;3
"150034 Água Azul do Norte";-;-;-;1;-;-;1
"150040 Alenquer";-;-;-;5;-;-;5
"150050 Almeirim";-;-;-;1;-;-;1
"150060 Altamira";5;2;-;9;-;-;16
"150070 Anajás";1;-;-;2;-;-;3
"150080 Ananindeua";9;2;-;45;-;-;56
"150085 Anapu";-;-;-;6;-;-;6
"150090 Augusto Corrêa";-;-;-;-;-;-;-
"150095 Aurora do Pará";-;-;-;4;-;-;4
"150100 Aveiro";-;-;-;1;-;-;1
"150110 Bagre";-;-;-;-;-;-;-
"150120 Baião";1;-;-;1;-;-;2
"150125 Bannach";-;-;-;-;-;-;-
"150130 Barcarena";2;-;-;8;-;-;10
"150140 Belém";50;7;-;162;-;-;219
"150145 Belterra";-;-;-;2;-;-;2
"150150 Benevides";-;-;-;2;-;-;2
"150157 Bom Jesus do Tocantins";-;-;-;2;-;-;2
"150160 Bonito";1;-;-;2;-;-;3
"150170 Bragança";1;-;-;10;-;-;11
"150172 Brasil Novo";-;-;-;-;-;-;-
"150175 Brejo Grande do Araguaia";-;-;-;-;-;-;-
"150178 Breu Branco";2;2;-;2;-;-;6
"150180 Breves";-;-;-;5;-;-;5
"150190 Bujaru";-;-;-;1;-;-;1
"150200 Cachoeira do Arari";-;-;-;1;-;-;1
"150195 Cachoeira do Piriá";-;-;-;3;-;-;3
"150210 Cametá";-;1;-;4;1;-;6
"150215 Canaã dos Carajás";2;-;-;6;-;1;9
"150220 Capanema";2;-;-;3;-;-;5
"150230 Capitão Poço";-;-;-;2;-;-;2
"150240 Castanhal";5;2;-;13;-;2;22
"150250 Chaves";-;-;-;-;-;-;-
"150260 Colares";-;-;-;1;-;-;1
"150270 Conceição do Araguaia";3;-;-;1;-;-;4
"150275 Concórdia do Pará";-;-;-;-;-;1;1
"150276 Cumaru do Norte";1;-;-;1;-;-;2
"150277 Curionópolis";1;-;-;4;-;-;5
"150280 Curralinho";-;-;-;1;-;-;1
"150285 Curuá";-;-;-;1;-;-;1
"150290 Curuçá";-;-;-;2;-;-;2
"150293 Dom Eliseu";-;1;-;5;-;-;6
"150295 Eldorado do Carajás";1;-;-;4;-;-;5
"150300 Faro";-;-;-;-;-;-;-
"150304 Floresta do Araguaia";-;2;-;3;-;-;5
"150307 Garrafão do Norte";-;-;-;1;-;-;1
"150309 Goianésia do Pará";-;-;-;2;-;-;2
"150310 Gurupá";-;1;-;2;-;-;3
"150320 Igarapé-Açu";-;-;-;2;-;-;2
"150330 Igarapé-Miri";-;-;-;5;-;-;5
"150340 Inhangapi";-;-;-;1;-;-;1
"150345 Ipixuna do Pará";-;-;-;-;-;-;-
"150350 Irituia";-;-;-;5;-;-;5
"150360 Itaituba";6;1;-;10;-;-;17
"150370 Itupiranga";-;-;1;5;-;-;6
"150375 Jacareacanga";-;-;-;2;1;-;3
"150380 Jacundá";1;-;-;4;-;-;5
"150390 Juruti";-;-;-;-;-;-;-
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;-
"150405 Mãe do Rio";1;-;-;1;-;-;2
"150410 Magalhães Barata";-;-;-;-;-;-;-
"150420 Marabá";5;1;1;30;-;-;37
"150430 Maracanã";-;-;-;2;-;-;2
"150440 Marapanim";-;-;-;-;-;1;1
"150442 Marituba";1;-;-;10;-;-;11
"150445 Medicilândia";1;-;-;1;-;-;2
"150450 Melgaço";-;-;-;-;-;-;-
"150460 Mocajuba";-;-;-;-;-;-;-
"150470 Moju";-;-;-;4;-;-;4
"150475 Mojuí dos Campos";-;-;-;-;-;-;-
"150480 Monte Alegre";-;-;-;-;-;-;-
"150490 Muaná";-;-;-;1;-;-;1
"150495 Nova Esperança do Piriá";-;-;-;1;-;-;1
"150497 Nova Ipixuna";-;-;-;1;-;-;1
"150500 Nova Timboteua";-;-;1;2;-;1;4
"150503 Novo Progresso";1;-;-;3;-;-;4
"150506 Novo Repartimento";-;-;-;3;-;-;3
"150510 Óbidos";-;1;-;1;-;-;2
"150520 Oeiras do Pará";-;-;-;-;-;-;-
"150530 Oriximiná";-;-;-;3;-;-;3
"150540 Ourém";-;-;-;1;-;-;1
"150543 Ourilândia do Norte";2;-;-;3;-;-;5
"150548 Pacajá";-;1;-;4;-;-;5
"150549 Palestina do Pará";-;-;-;3;-;-;3
"150550 Paragominas";6;2;-;7;-;-;15
"150553 Parauapebas";9;2;-;25;-;-;36
"150555 Pau D'Arco";-;-;-;1;-;-;1
"150560 Peixe-Boi";-;-;-;-;-;-;-
"150563 Piçarra";-;1;-;2;-;-;3
"150565 Placas";-;-;-;1;-;-;1
"150570 Ponta de Pedras";-;-;-;-;-;-;-
"150580 Portel";1;-;-;5;-;-;6
"150590 Porto de Moz";-;-;-;1;-;-;1
"150600 Prainha";-;-;-;4;-;-;4
"150610 Primavera";-;-;-;1;-;-;1
"150611 Quatipuru";-;-;-;-;-;-;-
"150613 Redenção";5;1;-;9;-;-;15
"150616 Rio Maria";1;-;-;-;-;-;1
"150618 Rondon do Pará";2;-;-;7;-;-;9
"150619 Rurópolis";2;-;-;1;-;-;3
"150620 Salinópolis";-;-;-;3;-;-;3
"150630 Salvaterra";-;-;-;-;-;-;-
"150635 Santa Bárbara do Pará";-;-;-;4;-;-;4
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";2;1;-;10;-;-;13
"150655 Santa Luzia do Pará";-;-;-;1;-;-;1
"150658 Santa Maria das Barreiras";1;1;-;1;-;-;3
"150660 Santa Maria do Pará";-;-;-;1;-;-;1
"150670 Santana do Araguaia";-;-;-;2;-;-;2
"150680 Santarém";3;2;-;16;-;2;23
"150690 Santarém Novo";-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;-;-;2;-;-;2
"150710 São Caetano de Odivelas";-;-;-;3;-;-;3
"150715 São Domingos do Araguaia";-;-;-;1;-;-;1
"150720 São Domingos do Capim";-;1;-;2;-;-;3
"150730 São Félix do Xingu";-;-;-;2;-;-;2
"150740 São Francisco do Pará";1;-;-;-;-;-;1
"150745 São Geraldo do Araguaia";-;-;-;3;-;-;3
"150746 São João da Ponta";-;-;-;1;-;-;1
"150747 São João de Pirabas";-;-;-;3;-;-;3
"150750 São João do Araguaia";-;-;-;3;-;-;3
"150760 São Miguel do Guamá";-;-;-;3;-;1;4
"150770 São Sebastião da Boa Vista";-;1;-;2;-;-;3
"150775 Sapucaia";-;-;-;-;-;-;-
"150780 Senador José Porfírio";1;-;-;-;-;-;1
"150790 Soure";-;-;-;-;-;-;-
"150795 Tailândia";1;3;-;11;-;-;15
"150796 Terra Alta";-;-;-;-;-;-;-
"150797 Terra Santa";-;-;-;1;-;-;1
"150800 Tomé-Açu";-;1;-;5;1;-;7
"150803 Tracuateua";-;-;-;2;-;-;2
"150805 Trairão";-;-;-;1;-;-;1
"150808 Tucumã";3;-;-;7;-;-;10
"150810 Tucuruí";-;2;-;7;-;-;9
"150812 Ulianópolis";-;-;-;3;-;-;3
"150815 Uruará";-;-;-;1;-;-;1
"150820 Vigia";1;-;-;4;-;-;5
"150830 Viseu";-;-;-;2;-;-;2
"150835 Vitória do Xingu";-;-;-;-;-;-;-
"150840 Xinguara";1;-;-;1;-;-;2
"150000 Município ignorado - PA";-;-;-;1;-;-;1
"160010 Amapá";-;-;-;1;-;-;1
"160020 Calçoene";-;-;-;1;-;-;1
"160021 Cutias";-;-;-;-;-;-;-
"160023 Ferreira Gomes";-;-;-;1;-;1;2
"160025 Itaubal";-;-;-;-;-;-;-
"160027 Laranjal do Jari";-;-;-;4;-;-;4
"160030 Macapá";10;2;-;24;-;10;46
"160040 Mazagão";-;-;-;3;-;-;3
"160050 Oiapoque";-;-;-;2;-;-;2
"160015 Pedra Branca do Amapari";-;-;-;1;-;-;1
"160053 Porto Grande";-;-;-;1;-;-;1
"160055 Pracuúba";-;-;-;-;-;-;-
"160060 Santana";3;-;-;11;-;-;14
"160005 Serra do Navio";-;-;-;-;-;-;-
"160070 Tartarugalzinho";-;-;-;-;-;-;-
"160080 Vitória do Jari";1;-;-;-;-;-;1
"160000 Município ignorado - AP";-;-;-;-;-;-;-
"170025 Abreulândia";-;-;-;-;-;-;-
"170030 Aguiarnópolis";-;-;-;-;-;-;-
"170035 Aliança do Tocantins";-;-;-;2;-;-;2
"170040 Almas";-;-;-;-;-;-;-
"170070 Alvorada";-;-;-;1;-;-;1
"170100 Ananás";-;1;-;1;-;-;2
"170105 Angico";-;-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-;-
"170190 Araguacema";-;-;-;-;-;-;-
"170200 Araguaçu";3;-;-;4;-;-;7
"170210 Araguaína";12;1;-;22;-;-;35
"170215 Araguanã";-;-;-;-;-;-;-
"170220 Araguatins";-;1;-;4;-;-;5
"170230 Arapoema";-;-;-;1;-;-;1
"170240 Arraias";-;-;-;1;-;-;1
"170255 Augustinópolis";-;-;-;2;-;-;2
"170270 Aurora do Tocantins";-;-;-;1;-;-;1
"170290 Axixá do Tocantins";1;-;-;1;-;-;2
"170300 Babaçulândia";-;-;-;-;-;-;-
"170305 Bandeirantes do Tocantins";-;-;-;1;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;-;-
"170310 Barrolândia";-;-;-;-;-;-;-
"170320 Bernardo Sayão";-;-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;1;-;-;1
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-
"170370 Brejinho de Nazaré";1;-;-;1;-;-;2
"170380 Buriti do Tocantins";-;-;-;1;-;-;1
"170382 Cachoeirinha";-;-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;-;-;-;-
"170386 Cariri do Tocantins";2;-;-;2;-;-;4
"170388 Carmolândia";-;-;-;1;-;-;1
"170389 Carrasco Bonito";-;-;-;-;-;-;-
"170390 Caseara";1;-;-;-;-;-;1
"170410 Centenário";1;-;-;-;-;1;2
"170510 Chapada da Natividade";1;-;-;-;-;-;1
"170460 Chapada de Areia";-;-;-;-;-;-;-
"170550 Colinas do Tocantins";1;1;-;5;-;-;7
"171670 Colméia";-;1;-;-;-;-;1
"170555 Combinado";-;-;-;-;-;-;-
"170560 Conceição do Tocantins";-;-;-;-;-;-;-
"170600 Couto Magalhães";-;-;-;-;-;-;-
"170610 Cristalândia";1;-;-;1;-;-;2
"170625 Crixás do Tocantins";-;-;-;-;-;-;-
"170650 Darcinópolis";-;-;-;-;-;-;-
"170700 Dianópolis";1;-;-;1;-;-;2
"170710 Divinópolis do Tocantins";-;-;-;-;-;-;-
"170720 Dois Irmãos do Tocantins";-;-;-;1;-;-;1
"170730 Dueré";-;-;-;-;-;-;-
"170740 Esperantina";-;-;-;-;-;-;-
"170755 Fátima";-;-;-;-;-;-;-
"170765 Figueirópolis";-;-;-;-;-;-;-
"170770 Filadélfia";-;-;-;-;-;-;-
"170820 Formoso do Araguaia";1;-;-;2;-;-;3
"170825 Fortaleza do Tabocão";-;-;-;1;-;1;2
"170830 Goianorte";-;-;-;1;-;-;1
"170900 Goiatins";-;-;-;1;-;-;1
"170930 Guaraí";-;-;-;1;-;1;2
"170950 Gurupi";3;-;-;10;-;-;13
"170980 Ipueiras";-;-;-;-;-;-;-
"171050 Itacajá";-;-;-;-;-;-;-
"171070 Itaguatins";1;-;-;1;-;-;2
"171090 Itapiratins";-;-;-;1;-;-;1
"171110 Itaporã do Tocantins";-;-;-;-;-;-;-
"171150 Jaú do Tocantins";-;-;-;-;-;-;-
"171180 Juarina";-;-;-;-;-;-;-
"171190 Lagoa da Confusão";-;-;-;2;-;-;2
"171195 Lagoa do Tocantins";1;-;-;1;-;-;2
"171200 Lajeado";-;-;-;-;-;-;-
"171215 Lavandeira";-;-;-;-;-;-;-
"171240 Lizarda";-;-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;1;-;-;1
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-
"171270 Mateiros";1;-;-;-;-;-;1
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-
"171320 Miracema do Tocantins";2;-;-;3;-;-;5
"171330 Miranorte";2;-;-;1;-;1;4
"171360 Monte do Carmo";-;-;-;-;-;-;-
"171370 Monte Santo do Tocantins";-;-;-;-;-;-;-
"171395 Muricilândia";-;-;-;2;-;-;2
"171420 Natividade";-;-;-;-;-;-;-
"171430 Nazaré";-;1;-;-;-;-;1
"171488 Nova Olinda";-;-;-;1;-;-;1
"171500 Nova Rosalândia";-;-;-;-;-;-;-
"171510 Novo Acordo";-;-;-;-;-;-;-
"171515 Novo Alegre";-;-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;1;-;-;1
"171550 Oliveira de Fátima";-;-;-;-;-;-;-
"172100 Palmas";9;1;-;25;-;1;36
"171570 Palmeirante";-;-;-;1;-;-;1
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-
"171575 Palmeirópolis";-;-;-;1;-;-;1
"171610 Paraíso do Tocantins";-;1;-;5;-;1;7
"171620 Paranã";-;-;-;-;-;-;-
"171630 Pau D'Arco";-;-;-;2;-;-;2
"171650 Pedro Afonso";-;-;-;1;-;-;1
"171660 Peixe";-;-;-;2;-;-;2
"171665 Pequizeiro";-;-;-;-;-;-;-
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-
"171720 Piraquê";-;-;-;-;-;-;-
"171750 Pium";-;-;-;2;-;-;2
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-
"171790 Ponte Alta do Tocantins";-;-;-;1;-;-;1
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-
"171820 Porto Nacional";2;1;-;11;-;-;14
"171830 Praia Norte";-;-;-;-;-;-;-
"171840 Presidente Kennedy";-;-;-;-;-;-;-
"171845 Pugmil";-;-;-;-;-;-;-
"171850 Recursolândia";-;-;-;-;-;-;-
"171855 Riachinho";-;-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;-;-;-
"171870 Rio dos Bois";-;-;-;-;-;-;-
"171875 Rio Sono";-;-;-;-;-;-;-
"171880 Sampaio";1;1;-;-;-;-;2
"171884 Sandolândia";1;1;-;1;-;-;3
"171886 Santa Fé do Araguaia";-;-;-;1;-;-;1
"171888 Santa Maria do Tocantins";-;-;-;1;-;-;1
"171889 Santa Rita do Tocantins";-;-;-;-;-;-;-
"171890 Santa Rosa do Tocantins";-;-;-;-;-;-;-
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-
"172010 São Bento do Tocantins";-;-;-;1;-;-;1
"172015 São Félix do Tocantins";-;-;-;-;-;-;-
"172020 São Miguel do Tocantins";1;-;-;2;-;-;3
"172025 São Salvador do Tocantins";-;2;-;2;-;-;4
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-
"172049 São Valério";-;-;-;-;-;-;-
"172065 Silvanópolis";-;-;-;-;-;-;-
"172080 Sítio Novo do Tocantins";-;-;-;-;-;-;-
"172085 Sucupira";-;-;-;-;-;-;-
"172090 Taguatinga";-;-;-;1;-;-;1
"172093 Taipas do Tocantins";-;-;-;-;-;-;-
"172097 Talismã";-;1;-;-;-;-;1
"172110 Tocantínia";-;-;-;-;1;-;1
"172120 Tocantinópolis";-;-;-;3;-;1;4
"172125 Tupirama";-;-;-;-;-;-;-
"172130 Tupiratins";-;-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;-;-;-;-
"172210 Xambioá";1;-;-;2;-;-;3
"170000 Município ignorado - TO";-;-;-;1;-;-;1
"210005 Açailândia";5;-;-;12;-;-;17
"210010 Afonso Cunha";-;-;-;-;-;-;-
"210015 Água Doce do Maranhão";-;-;-;1;-;-;1
"210020 Alcântara";-;-;-;-;-;-;-
"210030 Aldeias Altas";-;-;-;3;-;-;3
"210040 Altamira do Maranhão";-;-;-;-;-;-;-
"210043 Alto Alegre do Maranhão";1;1;-;5;-;1;8
"210047 Alto Alegre do Pindaré";-;-;-;4;-;-;4
"210050 Alto Parnaíba";-;-;-;1;-;-;1
"210055 Amapá do Maranhão";-;-;-;-;-;-;-
"210060 Amarante do Maranhão";-;-;-;4;1;-;5
"210070 Anajatuba";-;-;-;1;-;-;1
"210080 Anapurus";-;-;-;-;-;-;-
"210083 Apicum-Açu";1;-;-;-;-;-;1
"210087 Araguanã";-;-;-;-;-;-;-
"210090 Araioses";1;-;-;3;-;-;4
"210095 Arame";-;-;-;1;2;-;3
"210100 Arari";-;-;-;3;-;-;3
"210110 Axixá";-;-;-;-;-;-;-
"210120 Bacabal";2;1;-;6;-;1;10
"210125 Bacabeira";-;-;-;1;-;-;1
"210130 Bacuri";-;1;-;2;-;-;3
"210135 Bacurituba";-;-;-;-;-;-;-
"210140 Balsas";1;1;-;6;-;-;8
"210150 Barão de Grajaú";1;-;-;3;-;-;4
"210160 Barra do Corda";3;1;-;6;-;-;10
"210170 Barreirinhas";-;-;-;1;-;-;1
"210177 Bela Vista do Maranhão";-;-;-;4;-;-;4
"210173 Belágua";-;-;-;-;-;-;-
"210180 Benedito Leite";-;-;-;-;-;-;-
"210190 Bequimão";-;-;-;-;-;-;-
"210193 Bernardo do Mearim";1;-;-;1;-;-;2
"210197 Boa Vista do Gurupi";-;-;-;1;-;-;1
"210200 Bom Jardim";-;-;-;2;-;-;2
"210203 Bom Jesus das Selvas";1;-;-;2;-;-;3
"210207 Bom Lugar";-;-;-;1;-;-;1
"210210 Brejo";3;-;-;2;-;-;5
"210215 Brejo de Areia";-;-;-;1;-;-;1
"210220 Buriti";-;-;-;1;-;-;1
"210230 Buriti Bravo";1;2;-;2;-;-;5
"210232 Buriticupu";5;1;-;10;-;-;16
"210235 Buritirana";-;-;-;1;-;-;1
"210237 Cachoeira Grande";-;-;-;2;-;-;2
"210240 Cajapió";-;-;-;-;-;-;-
"210250 Cajari";-;-;-;-;-;-;-
"210255 Campestre do Maranhão";1;-;-;-;-;-;1
"210260 Cândido Mendes";1;-;-;2;-;-;3
"210270 Cantanhede";-;-;-;3;-;-;3
"210275 Capinzal do Norte";-;-;-;1;-;-;1
"210280 Carolina";-;-;-;4;-;-;4
"210290 Carutapera";-;-;-;1;-;-;1
"210300 Caxias";6;1;-;9;-;-;16
"210310 Cedral";-;1;-;-;-;-;1
"210312 Central do Maranhão";-;-;-;-;-;-;-
"210315 Centro do Guilherme";-;-;-;1;-;-;1
"210317 Centro Novo do Maranhão";-;-;-;1;-;-;1
"210320 Chapadinha";2;-;-;4;-;-;6
"210325 Cidelândia";-;-;-;3;-;-;3
"210330 Codó";2;-;-;14;-;-;16
"210340 Coelho Neto";-;1;-;2;-;-;3
"210350 Colinas";1;1;-;3;-;-;5
"210355 Conceição do Lago-Açu";-;-;-;2;-;-;2
"210360 Coroatá";-;1;-;5;-;-;6
"210370 Cururupu";-;3;-;2;-;1;6
"210375 Davinópolis";1;-;-;-;-;-;1
"210380 Dom Pedro";-;-;-;6;-;-;6
"210390 Duque Bacelar";1;-;-;1;-;-;2
"210400 Esperantinópolis";-;-;-;-;-;-;-
"210405 Estreito";1;-;-;2;-;-;3
"210407 Feira Nova do Maranhão";-;-;-;-;-;-;-
"210408 Fernando Falcão";-;-;-;-;-;-;-
